env_id,gym_env_id,agent,lam,seed,fingerprint,cost_return,raw_return,n_actions,solved,steps,n_eval_episodes,elapsed_sec,total_steps,source_csv
LunarLander-v3@budget1M,LunarLander-v3,dqn,0.0,0,9daabc9ffd38,205.4438815415801,205.4438815415801,238.95333333333335,0.9333333333333333,353.2133333333333,150,3740.7,1000000,results/raw/LunarLander-v3@budget1M/dqn/lam0.0/seed0_final.csv
LunarLander-v3@budget1M,LunarLander-v3,dqn,0.0,1,9daabc9ffd38,229.4926040732103,229.4926040732103,292.11333333333334,0.9133333333333333,377.94,150,3753.7,1000000,results/raw/LunarLander-v3@budget1M/dqn/lam0.0/seed1_final.csv
LunarLander-v3@budget1M,LunarLander-v3,dqn,0.0,2,9daabc9ffd38,26.18136794489659,26.18136794489659,353.38,0.7933333333333333,460.9266666666667,150,3791.5,1000000,results/raw/LunarLander-v3@budget1M/dqn/lam0.0/seed2_final.csv
LunarLander-v3@budget1M,LunarLander-v3,dqn,0.0,3,9daabc9ffd38,174.92711438390336,174.92711438390336,259.1933333333333,0.9666666666666667,418.2266666666667,150,3766.0,1000000,results/raw/LunarLander-v3@budget1M/dqn/lam0.0/seed3_final.csv
LunarLander-v3@budget1M,LunarLander-v3,dqn,0.0,4,9daabc9ffd38,155.0560110937106,155.0560110937106,591.2333333333333,0.52,669.3866666666667,150,3632.9,1000000,results/raw/LunarLander-v3@budget1M/dqn/lam0.0/seed4_final.csv
LunarLander-v3@budget1M,LunarLander-v3,dqn,0.0,5,9daabc9ffd38,175.1608913047676,175.1608913047676,405.6333333333333,0.8066666666666666,478.20666666666665,150,3671.6,1000000,results/raw/LunarLander-v3@budget1M/dqn/lam0.0/seed5_final.csv
LunarLander-v3@budget1M,LunarLander-v3,dqn,0.0,6,9daabc9ffd38,172.61262332296766,172.61262332296766,421.18,0.7466666666666667,549.8266666666667,150,3725.3,1000000,results/raw/LunarLander-v3@budget1M/dqn/lam0.0/seed6_final.csv
LunarLander-v3@budget1M,LunarLander-v3,dqn,0.0,7,9daabc9ffd38,138.60335062100023,138.60335062100023,439.6066666666667,0.7066666666666667,638.4133333333333,150,3690.1,1000000,results/raw/LunarLander-v3@budget1M/dqn/lam0.0/seed7_final.csv
LunarLander-v3@budget1M,LunarLander-v3,dqn,0.0,8,9daabc9ffd38,2.6856930856410752,2.6856930856410752,236.28666666666666,0.8933333333333333,318.41333333333336,150,3859.2,1000000,results/raw/LunarLander-v3@budget1M/dqn/lam0.0/seed8_final.csv
LunarLander-v3@budget1M,LunarLander-v3,dqn,0.0,9,9daabc9ffd38,71.52787658649756,71.52787658649756,359.3666666666667,0.7,527.6466666666666,150,3739.1,1000000,results/raw/LunarLander-v3@budget1M/dqn/lam0.0/seed9_final.csv
LunarLander-v3@budget1M,LunarLander-v3,lazy,0.0,0,a3ebbcb2b745,234.49443273186145,234.49443273186145,198.86666666666667,0.98,310.68,150,3733.8,1000000,results/raw/LunarLander-v3@budget1M/lazy/lam0.0/seed0_final.csv
LunarLander-v3@budget1M,LunarLander-v3,lazy,0.0,1,a3ebbcb2b745,227.2386723761864,227.2386723761864,163.90666666666667,0.9733333333333334,275.66,150,3714.9,1000000,results/raw/LunarLander-v3@budget1M/lazy/lam0.0/seed1_final.csv
LunarLander-v3@budget1M,LunarLander-v3,lazy,0.0,2,a3ebbcb2b745,-128.1341916841059,-128.1341916841059,212.98666666666668,0.9133333333333333,278.94,150,3764.6,1000000,results/raw/LunarLander-v3@budget1M/lazy/lam0.0/seed2_final.csv
LunarLander-v3@budget1M,LunarLander-v3,lazy,0.0,3,a3ebbcb2b745,197.54101854932955,197.54101854932955,249.01333333333332,0.9466666666666667,339.44,150,3706.6,1000000,results/raw/LunarLander-v3@budget1M/lazy/lam0.0/seed3_final.csv
LunarLander-v3@budget1M,LunarLander-v3,lazy,0.0,4,a3ebbcb2b745,177.45803419912366,177.45803419912366,135.5,0.9866666666666667,224.88666666666666,150,3672.9,1000000,results/raw/LunarLander-v3@budget1M/lazy/lam0.0/seed4_final.csv
LunarLander-v3@budget1M,LunarLander-v3,lazy,0.0,5,a3ebbcb2b745,103.24798597675654,103.24798597675654,137.22666666666666,0.9733333333333334,195.76,150,3688.0,1000000,results/raw/LunarLander-v3@budget1M/lazy/lam0.0/seed5_final.csv
LunarLander-v3@budget1M,LunarLander-v3,lazy,0.0,6,a3ebbcb2b745,188.66305422408192,188.66305422408192,222.46,0.9466666666666667,336.2,150,3700.9,1000000,results/raw/LunarLander-v3@budget1M/lazy/lam0.0/seed6_final.csv
LunarLander-v3@budget1M,LunarLander-v3,lazy,0.0,7,a3ebbcb2b745,-36.89658063811845,-36.89658063811845,382.0,0.6466666666666666,507.56666666666666,150,3719.2,1000000,results/raw/LunarLander-v3@budget1M/lazy/lam0.0/seed7_final.csv
LunarLander-v3@budget1M,LunarLander-v3,lazy,0.0,8,a3ebbcb2b745,208.85388257540734,208.85388257540734,232.1,0.9133333333333333,357.35333333333335,150,3902.9,1000000,results/raw/LunarLander-v3@budget1M/lazy/lam0.0/seed8_final.csv
LunarLander-v3@budget1M,LunarLander-v3,lazy,0.0,9,a3ebbcb2b745,136.6900317772619,136.6900317772619,153.35333333333332,0.9933333333333333,254.78,150,3795.4,1000000,results/raw/LunarLander-v3@budget1M/lazy/lam0.0/seed9_final.csv
