env_id,agent,lam,seed,cost_return,raw_return,n_actions,solved,steps,n_eval_episodes,elapsed_sec,total_steps,source_csv
LunarLander-v3,dqn,0.0,0,268.51945745701573,268.51945745701573,203.97,1.0,269.3,100,746.3,200000,results/raw/LunarLander-v3/dqn/lam0.0/seed0_final.csv
LunarLander-v3,lazy,0.0,0,223.51490273284773,223.51490273284773,157.95,0.97,255.9,100,751.1,200000,results/raw/LunarLander-v3/lazy/lam0.0/seed0_final.csv
LunarLander-v3,rule_noop,0.0,0,-130.6083365462689,-130.6083365462689,0.0,1.0,72.16,100,0.42,0,results/raw/LunarLander-v3/rule_noop/lam0.0/seed0_final.csv
LunarLander-v3,rule_noop,0.0,1,-123.88320478804691,-123.88320478804691,0.0,1.0,70.14,100,0.39,0,results/raw/LunarLander-v3/rule_noop/lam0.0/seed1_final.csv
LunarLander-v3,rule_noop,0.0,2,-133.45451036251632,-133.45451036251632,0.0,1.0,71.86,100,0.45,0,results/raw/LunarLander-v3/rule_noop/lam0.0/seed2_final.csv
LunarLander-v3,rule_noop,0.0,3,-131.8818159931876,-131.8818159931876,0.0,1.0,70.46,100,0.39,0,results/raw/LunarLander-v3/rule_noop/lam0.0/seed3_final.csv
LunarLander-v3,rule_noop,0.0,4,-130.38221243357486,-130.38221243357486,0.0,1.0,71.1,100,0.41,0,results/raw/LunarLander-v3/rule_noop/lam0.0/seed4_final.csv
LunarLander-v3,rule_noop,0.0,5,-127.18563751029649,-127.18563751029649,0.0,1.0,70.44,100,0.79,0,results/raw/LunarLander-v3/rule_noop/lam0.0/seed5_final.csv
LunarLander-v3,rule_noop,0.0,6,-137.3242176656163,-137.3242176656163,0.0,1.0,71.24,100,0.59,0,results/raw/LunarLander-v3/rule_noop/lam0.0/seed6_final.csv
LunarLander-v3,rule_noop,0.0,7,-134.09630209594516,-134.09630209594516,0.0,1.0,69.54,100,0.62,0,results/raw/LunarLander-v3/rule_noop/lam0.0/seed7_final.csv
LunarLander-v3,rule_noop,0.0,8,-128.35980192955157,-128.35980192955157,0.0,1.0,69.8,100,0.66,0,results/raw/LunarLander-v3/rule_noop/lam0.0/seed8_final.csv
LunarLander-v3,rule_noop,0.0,9,-133.0830092653199,-133.0830092653199,0.0,1.0,69.98,100,0.6,0,results/raw/LunarLander-v3/rule_noop/lam0.0/seed9_final.csv
LunarLander-v3,rule_noop,0.1,0,-130.6083365462689,-130.6083365462689,0.0,1.0,72.16,100,0.75,0,results/raw/LunarLander-v3/rule_noop/lam0.1/seed0_final.csv
LunarLander-v3,rule_noop,0.1,1,-123.88320478804691,-123.88320478804691,0.0,1.0,70.14,100,0.59,0,results/raw/LunarLander-v3/rule_noop/lam0.1/seed1_final.csv
LunarLander-v3,rule_noop,0.1,2,-133.45451036251632,-133.45451036251632,0.0,1.0,71.86,100,0.63,0,results/raw/LunarLander-v3/rule_noop/lam0.1/seed2_final.csv
LunarLander-v3,rule_noop,0.1,3,-131.8818159931876,-131.8818159931876,0.0,1.0,70.46,100,0.88,0,results/raw/LunarLander-v3/rule_noop/lam0.1/seed3_final.csv
