env_id,agent,lam,n_seeds,total_steps,elapsed_sec_mean,cost_return_iqm,cost_return_ci_lo,cost_return_ci_hi,cost_return_mean,raw_return_iqm,raw_return_ci_lo,raw_return_ci_hi,raw_return_mean,n_actions_iqm,n_actions_ci_lo,n_actions_ci_hi,n_actions_mean,solved_iqm,solved_ci_lo,solved_ci_hi,solved_mean
LunarLander-v3,dqn,0.0,2,200000,758.1,205.2075580526983,141.89565864838087,268.51945745701573,205.2075580526983,205.2075580526983,141.89565864838087,268.51945745701573,205.2075580526983,367.105,203.97,530.24,367.105,0.67,0.34,1.0,0.67
LunarLander-v3,lazy,0.0,2,200000,657.8,242.59936804765601,223.51490273284773,261.68383336246427,242.59936804765601,242.59936804765601,223.51490273284773,261.68383336246427,242.59936804765601,158.26,157.95,158.57,158.26,0.98,0.97,0.99,0.98
LunarLander-v3,rule_noop,0.0,10,0,0.5,-131.29494775506987,-133.37727302406122,-128.50343772041074,-131.02590485903238,-131.29494775506987,-133.37727302406122,-128.50343772041074,-131.02590485903238,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
LunarLander-v3,rule_noop,0.1,10,0,0.8,-131.29494775506987,-133.37727302406122,-128.50343772041074,-131.02590485903238,-131.29494775506987,-133.37727302406122,-128.50343772041074,-131.02590485903238,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
LunarLander-v3,rule_noop,0.3,10,0,0.7,-131.29494775506987,-133.37727302406122,-128.50343772041074,-131.02590485903238,-131.29494775506987,-133.37727302406122,-128.50343772041074,-131.02590485903238,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
LunarLander-v3,rule_noop,0.6,10,0,0.6,-131.29494775506987,-133.37727302406122,-128.50343772041074,-131.02590485903238,-131.29494775506987,-133.37727302406122,-128.50343772041074,-131.02590485903238,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
LunarLander-v3,rule_noop,1.0,10,0,0.6,-131.29494775506987,-133.37727302406122,-128.50343772041074,-131.02590485903238,-131.29494775506987,-133.37727302406122,-128.50343772041074,-131.02590485903238,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
LunarLander-v3,rule_noop,1.37,10,0,0.6,-131.29494775506987,-133.37727302406122,-128.50343772041074,-131.02590485903238,-131.29494775506987,-133.37727302406122,-128.50343772041074,-131.02590485903238,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
LunarLander-v3,rule_periodic_k1,0.0,10,0,0.8,-581.5003248500086,-586.9692895030722,-575.7454564756399,-581.092833055003,-581.5003248500086,-586.9692895030722,-575.7454564756399,-581.092833055003,67.09499999999998,66.71833333333332,67.69170833333332,67.22,1.0,1.0,1.0,1.0
LunarLander-v3,rule_periodic_k1,0.1,10,0,0.8,-588.2071581833422,-593.7256103364059,-582.4476523089737,-587.8148330550033,-581.5003248500086,-586.9692895030722,-575.7454564756399,-581.092833055003,67.09499999999998,66.71833333333332,67.69170833333332,67.22,1.0,1.0,1.0,1.0
LunarLander-v3,rule_periodic_k1,0.3,10,0,0.8,-601.6208248500092,-607.2390180899813,-595.8520439756405,-601.2588330550036,-581.5003248500086,-586.9692895030722,-575.7454564756399,-581.092833055003,67.09499999999998,66.71833333333332,67.69170833333332,67.22,1.0,1.0,1.0,1.0
LunarLander-v3,rule_periodic_k1,0.6,10,0,0.7,-621.7413248500089,-627.4742762001651,-615.9586314756401,-621.4248330550033,-581.5003248500086,-586.9692895030722,-575.7454564756399,-581.092833055003,67.09499999999998,66.71833333333332,67.69170833333332,67.22,1.0,1.0,1.0,1.0
LunarLander-v3,rule_periodic_k1,1.0,10,0,0.6,-648.5686581833417,-654.5015201416605,-642.7884335138659,-648.3128330550028,-581.5003248500086,-586.9692895030722,-575.7454564756399,-581.092833055003,67.09499999999998,66.71833333333332,67.69170833333332,67.22,1.0,1.0,1.0,1.0
LunarLander-v3,rule_periodic_k1,1.37,10,0,0.6,-673.3839415166752,-679.4536438770359,-667.4784743074703,-673.1842330550031,-581.5003248500086,-586.9692895030722,-575.7454564756399,-581.092833055003,67.09499999999998,66.71833333333332,67.69170833333332,67.22,1.0,1.0,1.0,1.0
LunarLander-v3,rule_periodic_k2,0.0,10,0,0.7,-369.05884703344844,-372.3124482396073,-363.9285363838553,-367.70039056889544,-369.05884703344844,-372.3124482396073,-363.9285363838553,-367.70039056889544,34.31166666666667,34.05983333333333,34.608333333333334,34.343,1.0,1.0,1.0,1.0
LunarLander-v3,rule_periodic_k2,0.1,10,0,0.7,-372.4938470334485,-375.7769982396073,-367.3460197171887,-371.1346905688955,-369.05884703344844,-372.3124482396073,-363.9285363838553,-367.70039056889544,34.31166666666667,34.05983333333333,34.608333333333334,34.343,1.0,1.0,1.0,1.0
LunarLander-v3,rule_periodic_k2,0.3,10,0,0.7,-379.3638470334486,-382.7377606963748,-374.1817754976912,-378.0032905688956,-369.05884703344844,-372.3124482396073,-363.9285363838553,-367.70039056889544,34.31166666666667,34.05983333333333,34.608333333333334,34.343,1.0,1.0,1.0,1.0
LunarLander-v3,rule_periodic_k2,0.6,10,0,0.7,-389.66884703344857,-393.1180899073993,-384.43600049769117,-388.30619056889554,-369.05884703344844,-372.3124482396073,-363.9285363838553,-367.70039056889544,34.31166666666667,34.05983333333333,34.608333333333334,34.343,1.0,1.0,1.0,1.0
LunarLander-v3,rule_periodic_k2,1.0,10,0,0.5,-403.40884703344847,-406.9930477362202,-398.1076023610504,-402.04339056889546,-369.05884703344844,-372.3124482396073,-363.9285363838553,-367.70039056889544,34.31166666666667,34.05983333333333,34.608333333333334,34.343,1.0,1.0,1.0,1.0
LunarLander-v3,rule_periodic_k2,1.37,10,0,0.6,-416.1183470334486,-419.80537204788044,-410.75358569438384,-414.7503005688956,-369.05884703344844,-372.3124482396073,-363.9285363838553,-367.70039056889544,34.31166666666667,34.05983333333333,34.608333333333334,34.343,1.0,1.0,1.0,1.0
LunarLander-v3,rule_periodic_k4,0.0,10,0,0.7,-233.39789565699004,-236.16232337925211,-231.68171490600375,-233.9511167967209,-233.39789565699004,-236.16232337925211,-231.68171490600375,-233.9511167967209,17.963333333333335,17.84995833333333,18.108375,17.976,1.0,1.0,1.0,1.0
LunarLander-v3,rule_periodic_k4,0.1,10,0,0.8,-235.20122899032336,-237.94714796950282,-233.48832606367097,-235.74871679672097,-233.39789565699004,-236.16232337925211,-231.68171490600375,-233.9511167967209,17.963333333333335,17.84995833333333,18.108375,17.976,1.0,1.0,1.0,1.0
LunarLander-v3,rule_periodic_k4,0.3,10,0,0.7,-238.80789565699004,-241.5224958084189,-237.09887822837098,-239.34391679672095,-233.39789565699004,-236.16232337925211,-231.68171490600375,-233.9511167967209,17.963333333333335,17.84995833333333,18.108375,17.976,1.0,1.0,1.0,1.0
LunarLander-v3,rule_periodic_k4,0.6,10,0,0.6,-244.19786496361178,-246.92653787616896,-242.4934623961819,-244.73671679672088,-233.39789565699004,-236.16232337925211,-231.68171490600375,-233.9511167967209,17.963333333333335,17.84995833333333,18.108375,17.976,1.0,1.0,1.0,1.0
LunarLander-v3,rule_periodic_k4,1.0,10,0,0.6,-251.37386496361182,-254.14918787616895,-249.7031554836882,-251.92711679672092,-233.39789565699004,-236.16232337925211,-231.68171490600375,-233.9511167967209,17.963333333333335,17.84995833333333,18.108375,17.976,1.0,1.0,1.0,1.0
LunarLander-v3,rule_periodic_k4,1.37,10,0,0.6,-258.01166496361185,-260.830139126169,-256.3714561571481,-258.57823679672094,-233.39789565699004,-236.16232337925211,-231.68171490600375,-233.9511167967209,17.963333333333335,17.84995833333333,18.108375,17.976,1.0,1.0,1.0,1.0
