env_id,gym_env_id,agent,lam,seed,fingerprint,cost_return,raw_return,n_actions,solved,steps,n_eval_episodes,elapsed_sec,total_steps,source_csv
MountainCar-v0,MountainCar-v0,dqn,0.0,0,b77904fc190a,-136.05333333333334,-136.05333333333334,126.77333333333333,0.8533333333333334,136.05333333333334,150,903.5,300000,results/raw/MountainCar-v0/dqn/lam0.0/seed0_final.csv
MountainCar-v0,MountainCar-v0,dqn,0.0,1,b77904fc190a,-136.42666666666668,-136.42666666666668,132.38666666666666,0.86,136.42666666666668,150,1006.3,300000,results/raw/MountainCar-v0/dqn/lam0.0/seed1_final.csv
MountainCar-v0,MountainCar-v0,dqn,0.0,2,b77904fc190a,-171.29333333333332,-171.29333333333332,144.2,0.49333333333333335,171.29333333333332,150,928.0,300000,results/raw/MountainCar-v0/dqn/lam0.0/seed2_final.csv
MountainCar-v0,MountainCar-v0,dqn,0.0,3,b77904fc190a,-140.98666666666668,-140.98666666666668,124.22,0.6533333333333333,140.98666666666668,150,910.6,300000,results/raw/MountainCar-v0/dqn/lam0.0/seed3_final.csv
MountainCar-v0,MountainCar-v0,dqn,0.0,4,b77904fc190a,-161.72,-161.72,145.74666666666667,0.76,161.72,150,918.6,300000,results/raw/MountainCar-v0/dqn/lam0.0/seed4_final.csv
MountainCar-v0,MountainCar-v0,dqn,0.0,5,b77904fc190a,-135.64,-135.64,120.3,0.84,135.64,150,909.4,300000,results/raw/MountainCar-v0/dqn/lam0.0/seed5_final.csv
MountainCar-v0,MountainCar-v0,dqn,0.0,6,b77904fc190a,-166.74,-166.74,164.28,0.68,166.74,150,917.7,300000,results/raw/MountainCar-v0/dqn/lam0.0/seed6_final.csv
MountainCar-v0,MountainCar-v0,dqn,0.0,7,b77904fc190a,-200.0,-200.0,133.33333333333334,0.0,200.0,150,928.0,300000,results/raw/MountainCar-v0/dqn/lam0.0/seed7_final.csv
MountainCar-v0,MountainCar-v0,dqn,0.0,8,b77904fc190a,-185.31333333333333,-185.31333333333333,174.34666666666666,0.31333333333333335,185.31333333333333,150,908.5,300000,results/raw/MountainCar-v0/dqn/lam0.0/seed8_final.csv
MountainCar-v0,MountainCar-v0,dqn,0.0,9,b77904fc190a,-190.01333333333332,-190.01333333333332,182.78666666666666,0.2866666666666667,190.01333333333332,150,908.7,300000,results/raw/MountainCar-v0/dqn/lam0.0/seed9_final.csv
MountainCar-v0,MountainCar-v0,dqn,0.001,0,b77904fc190a,-200.13352000000035,-200.0,133.52,0.0,200.0,150,1032.1,300000,results/raw/MountainCar-v0/dqn/lam0.001/seed0_final.csv
MountainCar-v0,MountainCar-v0,dqn,0.001,1,b77904fc190a,-125.18897333333356,-125.07333333333334,115.64,1.0,125.07333333333334,150,1013.8,300000,results/raw/MountainCar-v0/dqn/lam0.001/seed1_final.csv
MountainCar-v0,MountainCar-v0,dqn,0.001,2,b77904fc190a,-123.55557333333354,-123.43333333333334,122.24,0.9933333333333333,123.43333333333334,150,978.8,300000,results/raw/MountainCar-v0/dqn/lam0.001/seed2_final.csv
MountainCar-v0,MountainCar-v0,dqn,0.001,3,b77904fc190a,-200.0,-200.0,0.0,0.0,200.0,150,1005.5,300000,results/raw/MountainCar-v0/dqn/lam0.001/seed3_final.csv
MountainCar-v0,MountainCar-v0,dqn,0.001,4,b77904fc190a,-167.76813333333368,-167.62,148.13333333333333,0.47333333333333333,167.62,150,1022.6,300000,results/raw/MountainCar-v0/dqn/lam0.001/seed4_final.csv
