env_id,agent,lam,n_seeds,total_steps,elapsed_sec_mean,cost_return_iqm,cost_return_ci_lo,cost_return_ci_hi,cost_return_mean,raw_return_iqm,raw_return_ci_lo,raw_return_ci_hi,raw_return_mean,n_actions_iqm,n_actions_ci_lo,n_actions_ci_hi,n_actions_mean,solved_iqm,solved_ci_lo,solved_ci_hi,solved_mean,best_rule_name
MountainCar-v0,dqn,0.0,10,300000,923.9,-160.41333333333333,-180.68888888888887,-141.99,-162.41866666666667,-160.41333333333333,-180.68888888888887,-141.99,-162.41866666666667,141.12,128.4611111111111,160.69913888888885,144.83733333333333,0.6233333333333334,0.3833333333333333,0.7933333333333334,0.5740000000000001,
MountainCar-v0,dqn,0.01,10,300000,926.7,-197.4907444444444,-200.13159999999996,-181.15458888888884,-189.28669999999994,-197.18555555555554,-200.0,-180.5444444444444,-188.78066666666663,33.465555555555554,0.0,94.64958333333229,50.60333333333333,0.034444444444444444,0.0,0.2722222222222222,0.152,
MountainCar-v0,dqn,0.02,10,300000,933.0,-200.40620000000004,-201.23615555555577,-200.0,-200.6437200000001,-200.0,-200.0,-199.9711111111111,-199.98266666666666,21.754444444444445,0.0,65.32183333333333,33.05266666666667,0.0,0.0,0.005555555555555556,0.003333333333333333,
MountainCar-v0,dqn,0.03,10,300000,927.3,-200.0,-200.33333333333334,-200.0,-200.2,-200.0,-200.0,-200.0,-200.0,0.0,0.0,11.111111111111112,6.666666666666667,0.0,0.0,0.0,0.0,
MountainCar-v0,dqn,0.05,10,300000,929.6,-200.0,-200.55555555555557,-200.0,-200.33333333333334,-200.0,-200.0,-200.0,-200.0,0.0,0.0,11.111111111111112,6.666666666666667,0.0,0.0,0.0,0.0,
MountainCar-v0,dqn,0.1,10,300000,927.6,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MountainCar-v0,dqn,0.2,10,300000,933.7,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MountainCar-v0,dqn,0.35,10,300000,926.7,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MountainCar-v0,dqn,0.66,10,300000,930.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MountainCar-v0,lazy,0.0,10,300000,923.5,-127.86444444444446,-151.5911111111111,-117.76666666666667,-134.94133333333335,-127.86444444444446,-151.5911111111111,-117.76666666666667,-134.94133333333335,125.21111111111111,115.93666666666668,134.20000000000002,124.68466666666669,0.938888888888889,0.6644444444444445,0.9977777777777778,0.8219999999999998,
