seed,steps,raw_return,cost_return,n_actions,solved
501000,200,-200.0,-200.0,0,0
501001,200,-200.0,-200.0,0,0
501002,200,-200.0,-200.0,0,0
501003,200,-200.0,-200.0,0,0
501004,200,-200.0,-200.0,0,0
501005,200,-200.0,-200.0,0,0
501006,200,-200.0,-200.0,0,0
501007,200,-200.0,-200.0,0,0
501008,200,-200.0,-200.0,0,0
501009,200,-200.0,-200.0,0,0
501010,200,-200.0,-200.0,0,0
501011,200,-200.0,-200.0,0,0
501012,200,-200.0,-200.0,0,0
501013,200,-200.0,-200.0,0,0
501014,200,-200.0,-200.0,0,0
501015,200,-200.0,-200.0,0,0
501016,200,-200.0,-200.0,0,0
501017,200,-200.0,-200.0,0,0
501018,200,-200.0,-200.0,0,0
501019,200,-200.0,-200.0,0,0
501020,200,-200.0,-200.0,0,0
501021,200,-200.0,-200.0,0,0
501022,200,-200.0,-200.0,0,0
501023,200,-200.0,-200.0,0,0
501024,200,-200.0,-200.0,0,0
501025,200,-200.0,-200.0,0,0
501026,200,-200.0,-200.0,0,0
501027,200,-200.0,-200.0,0,0
501028,200,-200.0,-200.0,0,0
501029,200,-200.0,-200.0,0,0
501030,200,-200.0,-200.0,0,0
501031,200,-200.0,-200.0,0,0
501032,200,-200.0,-200.0,0,0
501033,200,-200.0,-200.0,0,0
501034,200,-200.0,-200.0,0,0
501035,200,-200.0,-200.0,0,0
501036,200,-200.0,-200.0,0,0
501037,200,-200.0,-200.0,0,0
501038,200,-200.0,-200.0,0,0
501039,200,-200.0,-200.0,0,0
501040,200,-200.0,-200.0,0,0
501041,200,-200.0,-200.0,0,0
501042,200,-200.0,-200.0,0,0
501043,200,-200.0,-200.0,0,0
501044,200,-200.0,-200.0,0,0
501045,200,-200.0,-200.0,0,0
501046,200,-200.0,-200.0,0,0
501047,200,-200.0,-200.0,0,0
501048,200,-200.0,-200.0,0,0
501049,200,-200.0,-200.0,0,0
501050,200,-200.0,-200.0,0,0
501051,200,-200.0,-200.0,0,0
501052,200,-200.0,-200.0,0,0
501053,200,-200.0,-200.0,0,0
501054,200,-200.0,-200.0,0,0
501055,200,-200.0,-200.0,0,0
501056,200,-200.0,-200.0,0,0
501057,200,-200.0,-200.0,0,0
501058,200,-200.0,-200.0,0,0
501059,200,-200.0,-200.0,0,0
501060,200,-200.0,-200.0,0,0
501061,200,-200.0,-200.0,0,0
501062,200,-200.0,-200.0,0,0
501063,200,-200.0,-200.0,0,0
501064,200,-200.0,-200.0,0,0
501065,200,-200.0,-200.0,0,0
501066,200,-200.0,-200.0,0,0
501067,200,-200.0,-200.0,0,0
501068,200,-200.0,-200.0,0,0
501069,200,-200.0,-200.0,0,0
501070,200,-200.0,-200.0,0,0
501071,200,-200.0,-200.0,0,0
501072,200,-200.0,-200.0,0,0
501073,200,-200.0,-200.0,0,0
501074,200,-200.0,-200.0,0,0
501075,200,-200.0,-200.0,0,0
501076,200,-200.0,-200.0,0,0
501077,200,-200.0,-200.0,0,0
501078,200,-200.0,-200.0,0,0
501079,200,-200.0,-200.0,0,0
501080,200,-200.0,-200.0,0,0
501081,200,-200.0,-200.0,0,0
501082,200,-200.0,-200.0,0,0
501083,200,-200.0,-200.0,0,0
501084,200,-200.0,-200.0,0,0
501085,200,-200.0,-200.0,0,0
501086,200,-200.0,-200.0,0,0
501087,200,-200.0,-200.0,0,0
501088,200,-200.0,-200.0,0,0
501089,200,-200.0,-200.0,0,0
501090,200,-200.0,-200.0,0,0
501091,200,-200.0,-200.0,0,0
501092,200,-200.0,-200.0,0,0
501093,200,-200.0,-200.0,0,0
501094,200,-200.0,-200.0,0,0
501095,200,-200.0,-200.0,0,0
501096,200,-200.0,-200.0,0,0
501097,200,-200.0,-200.0,0,0
501098,200,-200.0,-200.0,0,0
501099,200,-200.0,-200.0,0,0
