raw_return_iqm,raw_return_mean,cost_return_iqm,cost_return_mean,n_actions_mean,steps_mean,solved_rate,step,loss,eps
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,5000,0.4264669120311737,0.8416666666666667
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,10000,0.3491945266723633,0.6833333333333333
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,15000,0.2849211096763611,0.525
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,20000,0.23267360031604767,0.3666666666666667
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,25000,0.191031351685524,0.20833333333333337
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,30000,0.1556539237499237,0.05
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,35000,0.12746478617191315,0.05
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,40000,0.10463645309209824,0.05
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,45000,0.08595488220453262,0.05
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,50000,0.06988123804330826,0.05
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,55000,0.05701929330825806,0.05
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,60000,0.04617233946919441,0.05
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,65000,0.03866129741072655,0.05
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,70000,0.03073304332792759,0.05
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,75000,0.025673475116491318,0.05
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,80000,0.02095530740916729,0.05
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,85000,0.017115900292992592,0.05
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,90000,0.01381823793053627,0.05
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,95000,0.011367919854819775,0.05
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,100000,0.009400837123394012,0.05
