seed,steps,raw_return,cost_return,n_actions,solved
500000,583,241.90187470150016,76.90187470149993,275,1
500001,234,246.88294639721192,213.88294639721187,55,1
500002,741,195.7339122982175,-74.86608770178287,451,1
500003,290,258.9885174872819,158.18851748728184,168,1
500004,206,257.9733275145088,191.9733275145088,110,1
500005,254,247.16355890983127,184.16355890983107,105,1
500006,322,222.5228245144798,84.52282451447974,230,1
500007,223,198.21327273797536,96.2132727379752,170,1
500008,125,11.931489609026002,-28.868510390974052,68,1
500009,92,44.62246290708222,8.0224629070822,61,1
500010,204,263.8158085774304,190.01580857743028,123,1
500011,183,269.7837384474209,215.78373844742083,90,1
500012,160,276.215137828715,222.2151378287149,90,1
500013,268,266.13034741167127,162.93034741167122,172,1
500014,162,289.62419536825735,243.4241953682572,77,1
500015,408,273.4582856451634,115.65828564516313,263,1
500016,247,258.19418525107335,179.59418525107344,131,1
500017,236,250.76840005867263,202.16840005867257,81,1
500018,185,260.3257344978946,196.12573449789434,107,1
500019,1000,27.28461437066226,-348.3153856293379,626,0
500020,368,234.0703685091798,111.07036850917967,205,1
500021,414,265.3260501723163,81.72605017231588,306,1
500022,189,278.54166756329005,216.14166756328999,104,1
500023,328,266.9381194150434,180.53811941504327,144,1
500024,227,261.17900423570063,191.57900423570047,116,1
500025,222,265.622137021457,201.42213702145688,107,1
500026,215,265.0640107196416,203.26401071964153,103,1
500027,105,27.06121904243463,-13.738780957565382,68,1
500028,286,243.13449903087493,154.93449903087475,147,1
500029,234,246.4879168575133,173.28791685751327,122,1
500030,253,243.15343989732506,157.9534398973251,142,1
500031,177,270.46678488301893,224.266784883019,77,1
500032,276,272.83064647756015,178.63064647755994,157,1
500033,409,264.2185427384402,159.81854273843982,174,1
500034,388,239.5772976065643,107.57729760656436,220,1
500035,194,271.62998220624655,208.0299822062466,106,1
500036,404,220.30304361836858,77.50304361836851,238,1
500037,256,281.7348616324463,195.93486163244617,143,1
500038,114,47.63815425046661,13.438154250466525,57,1
500039,249,217.05771242178864,100.65771242178833,194,1
500040,1000,152.0523286083721,-39.94767139162856,320,0
500041,352,219.20328133805444,118.40328133805434,168,1
500042,163,278.1294002831696,237.92940028316946,67,1
500043,168,205.9855158729033,127.98551587290315,130,1
500044,444,201.69260800232757,2.492608002327273,332,1
500045,175,282.138995762852,223.93899576285196,97,1
500046,115,47.06414482420283,11.064144824202756,60,1
500047,1000,82.2296414743816,-201.57035852561862,473,0
500048,192,277.8659173236026,237.06591732360255,68,1
500049,179,270.3036858010387,227.1036858010387,72,1
500050,255,280.3819745304438,201.78197453044362,131,1
500051,641,201.595494284285,-15.604505715714723,362,1
500052,399,274.4694449540945,131.66944495409453,238,1
500053,390,241.4562773473245,102.85627734732442,231,1
500054,459,209.93163431369163,50.33163431369156,266,1
500055,163,265.63631062583414,227.2363106258341,64,1
500056,311,251.5340611748492,156.734061174849,158,1
500057,379,274.9724771101519,140.57247711015185,224,1
500058,167,285.3153813371945,252.91538133719442,54,1
500059,1000,1.5693170745097598,-381.8306829254914,639,0
500060,182,254.1962718572241,199.596271857224,91,1
500061,195,276.76297142632444,205.36297142632435,119,1
500062,320,247.94104329092383,122.54104329092367,209,1
500063,1000,126.92640895113328,-121.47359104886777,414,0
500064,197,269.49363131739415,234.69363131739408,58,1
500065,174,64.27823365559837,1.2782336555982852,105,1
500066,1000,101.25711917087008,-119.54288082913018,368,0
500067,401,258.6848735342232,119.48487353422297,232,1
500068,1000,145.1749958409047,-136.22500415909695,469,0
500069,86,29.069908728988196,-0.9300912710118467,50,1
500070,202,263.90347983328854,215.9034798332885,80,1
500071,187,284.56118648393493,247.36118648393477,62,1
500072,361,244.36020775602208,111.7602077560221,221,1
500073,257,289.7833039504598,220.18330395045987,116,1
500074,270,272.56798817619483,172.9679881761947,166,1
500075,1000,39.359672953422006,-318.84032704657824,597,0
500076,200,273.421479423002,199.02147942300178,124,1
500077,1000,145.3510269019536,-77.84897309804742,372,0
500078,358,288.035543746619,161.4355437466191,211,1
500079,233,263.403885230229,188.40388523022895,125,1
500080,406,244.13405465611584,82.13405465611592,270,1
500081,240,293.5984985073201,228.19849850732,109,1
500082,175,194.78713385014427,115.58713385014424,132,1
500083,282,265.20829453996674,175.80829453996648,149,1
500084,1000,144.6041282248024,-161.99587177519854,511,0
500085,354,243.08830892483556,121.88830892483554,202,1
500086,350,265.8446009165824,139.24460091658227,211,1
500087,312,249.5712928013678,128.97129280136753,201,1
500088,421,227.07560042187524,77.67560042187516,249,1
500089,1000,135.59043301957308,55.79043301957322,133,0
500090,161,239.34013246965483,203.3401324696549,60,1
500091,388,253.3248693973484,112.92486939734822,234,1
500092,346,281.1623449309344,155.76234493093426,209,1
500093,344,226.47450362028385,101.67450362028369,208,1
500094,360,264.7177452804601,174.7177452804601,150,1
500095,193,260.250763022515,215.250763022515,75,1
500096,237,279.4405855893038,196.64058558930378,138,1
500097,276,238.95354524775647,120.15354524775631,198,1
500098,360,232.9916921396923,87.19169213969226,243,1
500099,871,188.879442667477,-67.32055733252358,427,1
