seed,steps,raw_return,cost_return,n_actions,solved
500000,222,282.49543167644094,282.49543167644094,158,1
500001,237,239.77934910742425,239.77934910742425,144,1
500002,167,36.86385676387823,36.86385676387823,118,1
500003,298,286.2727006510163,286.2727006510163,194,1
500004,154,21.366297680877224,21.366297680877224,119,1
500005,209,251.6279400925544,251.6279400925544,94,1
500006,319,295.0085233723966,295.0085233723966,210,1
500007,234,249.1161407333929,249.1161407333929,133,1
500008,280,285.29338201747623,285.29338201747623,161,1
500009,168,258.15291169300355,258.15291169300355,106,1
500010,341,255.51615077420414,255.51615077420414,198,1
500011,269,254.81720014880318,254.81720014880318,190,1
500012,187,271.74155115123244,271.74155115123244,114,1
500013,230,315.1214946955631,315.1214946955631,165,1
500014,227,273.9813191412567,273.9813191412567,148,1
500015,197,299.0401879183712,299.0401879183712,146,1
500016,259,256.9051414550447,256.9051414550447,168,1
500017,186,275.62563071220103,275.62563071220103,105,1
500018,110,71.6375156672342,71.6375156672342,90,1
500019,142,24.760640003993473,24.760640003993473,101,1
500020,248,259.2130365676319,259.2130365676319,134,1
500021,130,54.85642823021908,54.85642823021908,116,1
500022,187,282.3675881056141,282.3675881056141,109,1
500023,297,285.9000261009302,285.9000261009302,197,1
500024,226,279.24461597364154,279.24461597364154,147,1
500025,282,250.7454807741324,250.7454807741324,183,1
500026,247,272.83824726486176,272.83824726486176,156,1
500027,195,264.41259379031277,264.41259379031277,113,1
500028,302,292.4772424034229,292.4772424034229,196,1
500029,243,245.94380440297297,245.94380440297297,153,1
500030,109,35.43219963752799,35.43219963752799,77,1
500031,202,276.6651623019281,276.6651623019281,105,1
500032,361,304.56465018222076,304.56465018222076,236,1
500033,285,299.58319055243567,299.58319055243567,178,1
500034,128,26.68671967880637,26.68671967880637,94,1
500035,240,261.52275540763935,261.52275540763935,141,1
500036,231,280.7341314223176,280.7341314223176,147,1
500037,1000,180.44348415835069,180.44348415835069,597,0
500038,195,262.8406234857836,262.8406234857836,124,1
500039,188,251.15375989318267,251.15375989318267,147,1
500040,304,286.36305876329817,286.36305876329817,199,1
500041,295,265.09899271056474,265.09899271056474,178,1
500042,104,67.26807225905065,67.26807225905065,80,1
500043,107,39.452807727863956,39.452807727863956,68,1
500044,317,295.4274572126303,295.4274572126303,191,1
500045,236,274.5690471330493,274.5690471330493,144,1
500046,248,282.79696609231473,282.79696609231473,152,1
500047,246,229.16774589433712,229.16774589433712,148,1
500048,307,266.6294050091418,266.6294050091418,184,1
500049,232,261.2644970963879,261.2644970963879,119,1
500050,246,294.23068907473396,294.23068907473396,155,1
500051,331,300.7218542298673,300.7218542298673,213,1
500052,273,301.15818415406204,301.15818415406204,166,1
500053,235,297.6702205079989,297.6702205079989,146,1
500054,197,268.58999408403116,268.58999408403116,102,1
500055,256,244.2424247703095,244.2424247703095,147,1
500056,194,268.34724132561246,268.34724132561246,116,1
500057,192,285.3984923201165,285.3984923201165,138,1
500058,162,275.2252791902869,275.2252791902869,89,1
500059,125,12.818004281605468,12.818004281605468,89,1
500060,245,247.2376586180347,247.2376586180347,147,1
500061,333,263.6108656832358,263.6108656832358,217,1
500062,193,283.27212471748425,283.27212471748425,124,1
500063,245,273.76509451869583,273.76509451869583,165,1
500064,297,252.88174999258328,252.88174999258328,198,1
500065,392,294.1255471742313,294.1255471742313,242,1
500066,112,41.95136751044225,41.95136751044225,88,1
500067,150,28.23502533094694,28.23502533094694,117,1
500068,332,272.90256023781444,272.90256023781444,192,1
500069,1000,123.28138394118824,123.28138394118824,357,0
500070,257,270.27857477863006,270.27857477863006,147,1
500071,130,52.858070056390176,52.858070056390176,87,1
500072,335,272.5745890205959,272.5745890205959,211,1
500073,420,253.58067790033763,253.58067790033763,246,1
500074,303,288.5388242987219,288.5388242987219,198,1
500075,152,31.586399608686264,31.586399608686264,116,1
500076,264,266.6170280340876,266.6170280340876,152,1
500077,273,308.14388512331766,308.14388512331766,169,1
500078,165,39.702466765626724,39.702466765626724,127,1
500079,232,271.1264296231951,271.1264296231951,144,1
500080,267,301.1908332327338,301.1908332327338,175,1
500081,280,286.7325230649527,286.7325230649527,146,1
500082,128,17.096878700993855,17.096878700993855,88,1
500083,172,283.3047539309673,283.3047539309673,104,1
500084,299,296.22120557634804,296.22120557634804,211,1
500085,262,266.46052443881297,266.46052443881297,153,1
500086,137,53.80956328698369,53.80956328698369,113,1
500087,121,79.96260781243072,79.96260781243072,93,1
500088,191,274.91841474210025,274.91841474210025,131,1
500089,266,259.60354503500406,259.60354503500406,158,1
500090,211,237.58422074901094,237.58422074901094,104,1
500091,209,284.970706775478,284.970706775478,146,1
500092,158,31.33723176632722,31.33723176632722,120,1
500093,131,42.04701313049469,42.04701313049469,93,1
500094,388,288.646106985784,288.646106985784,248,1
500095,257,255.1574582630149,255.1574582630149,177,1
500096,322,288.8085695755553,288.8085695755553,215,1
500097,390,296.15532591012436,296.15532591012436,231,1
500098,232,272.40800463686395,272.40800463686395,147,1
500099,1000,109.61492310898598,109.61492310898598,462,0
