seed,steps,raw_return,cost_return,n_actions,solved
500000,373,254.51193081235743,254.51193081235743,282,1
500001,215,252.49820830802528,252.49820830802528,149,1
500002,1000,165.25503121092243,165.25503121092243,932,0
500003,236,280.1858878803005,280.1858878803005,184,1
500004,186,262.9246076197445,262.9246076197445,136,1
500005,193,261.66032214828397,261.66032214828397,135,1
500006,196,304.71588393328284,304.71588393328284,128,1
500007,252,258.67497484066166,258.67497484066166,181,1
500008,220,297.29013193038804,297.29013193038804,172,1
500009,223,239.8880839148694,239.8880839148694,167,1
500010,262,264.22793424154327,264.22793424154327,208,1
500011,228,260.60815117577374,260.60815117577374,170,1
500012,728,234.97215834517328,234.97215834517328,427,1
500013,225,296.0299327712962,296.0299327712962,159,1
500014,207,274.1757759606675,274.1757759606675,153,1
500015,1000,170.51707003572318,170.51707003572318,612,0
500016,232,261.3506601948793,261.3506601948793,170,1
500017,465,252.94146486242917,252.94146486242917,423,1
500018,1000,140.06279808292032,140.06279808292032,950,0
500019,266,259.12289986570374,259.12289986570374,173,1
500020,1000,122.8698415706843,122.8698415706843,735,0
500021,1000,164.20919586086484,164.20919586086484,949,0
500022,463,267.09855547249936,267.09855547249936,325,1
500023,213,287.1319062193871,287.1319062193871,178,1
500024,206,273.11041314825354,273.11041314825354,174,1
500025,233,259.77343252985446,259.77343252985446,171,1
500026,185,280.00811399559745,280.00811399559745,147,1
500027,229,257.6399531809894,257.6399531809894,149,1
500028,151,60.13851173307165,60.13851173307165,145,1
500029,286,229.96517574363193,229.96517574363193,208,1
500030,153,249.56840293710394,249.56840293710394,108,1
500031,247,276.3788368002297,276.3788368002297,176,1
500032,245,312.7293918482712,312.7293918482712,198,1
500033,251,290.25282313191565,290.25282313191565,215,1
500034,328,271.40098326181374,271.40098326181374,271,1
500035,282,237.2073661215762,237.2073661215762,227,1
500036,206,285.8387593265991,285.8387593265991,165,1
500037,216,295.4639403652284,295.4639403652284,170,1
500038,226,272.13317764474004,272.13317764474004,180,1
500039,284,254.26638400405844,254.26638400405844,207,1
500040,205,305.0271330048201,305.0271330048201,139,1
500041,200,275.9685259581663,275.9685259581663,165,1
500042,220,284.7281554098796,284.7281554098796,147,1
500043,250,260.09049774764867,260.09049774764867,165,1
500044,206,296.4210438370336,296.4210438370336,151,1
500045,472,253.92837940518774,253.92837940518774,366,1
500046,206,284.91890966766186,284.91890966766186,161,1
500047,185,245.01564628542104,245.01564628542104,120,1
500048,214,276.65709470798726,276.65709470798726,164,1
500049,192,257.17552621003404,257.17552621003404,132,1
500050,204,293.63713832678815,293.63713832678815,176,1
500051,247,69.16776925116227,69.16776925116227,212,1
500052,342,284.68928459367544,284.68928459367544,232,1
500053,212,298.4996160149746,298.4996160149746,171,1
500054,461,240.19115492987996,240.19115492987996,355,1
500055,218,252.48997789968425,252.48997789968425,176,1
500056,373,235.16261544181233,235.16261544181233,348,1
500057,370,-4.628323290797397,-4.628323290797397,315,1
500058,367,259.2977215367197,259.2977215367197,285,1
500059,249,249.71389378949868,249.71389378949868,209,1
500060,253,238.8858812736059,238.8858812736059,192,1
500061,187,279.17666435266847,279.17666435266847,143,1
500062,1000,137.53906260014702,137.53906260014702,973,0
500063,180,279.91165513302406,279.91165513302406,136,1
500064,252,269.8982071304662,269.8982071304662,214,1
500065,162,90.41809651835467,90.41809651835467,148,1
500066,271,284.2158917932618,284.2158917932618,200,1
500067,301,262.3251898972385,262.3251898972385,253,1
500068,250,295.34392382814445,295.34392382814445,201,1
500069,240,234.03151335097763,234.03151335097763,169,1
500070,246,267.18576315207576,267.18576315207576,196,1
500071,284,262.2038859775917,262.2038859775917,220,1
500072,268,272.93269324850286,272.93269324850286,200,1
500073,215,304.70326489286043,304.70326489286043,158,1
500074,205,297.4083945061353,297.4083945061353,160,1
500075,277,274.47884227082255,274.47884227082255,194,1
500076,206,271.6905813140257,271.6905813140257,147,1
500077,217,306.42643002702954,306.42643002702954,180,1
500078,1000,162.5586079907218,162.5586079907218,661,0
500079,215,270.00491838202515,270.00491838202515,172,1
500080,229,284.40455633241515,284.40455633241515,191,1
500081,232,296.1837883768014,296.1837883768014,183,1
500082,213,252.88605555902268,252.88605555902268,143,1
500083,158,281.56698188436155,281.56698188436155,118,1
500084,227,308.3406007711485,308.3406007711485,168,1
500085,264,258.3024494617346,258.3024494617346,164,1
500086,1000,159.8527324126593,159.8527324126593,952,0
500087,209,276.93661780105646,276.93661780105646,125,1
500088,415,273.4354510433136,273.4354510433136,335,1
500089,220,258.84924355186047,258.84924355186047,164,1
500090,174,249.39991319405854,249.39991319405854,114,1
500091,311,290.32188015845685,290.32188015845685,223,1
500092,302,282.1134098795445,282.1134098795445,208,1
500093,279,260.2723347803406,260.2723347803406,202,1
500094,1000,175.34990518611758,175.34990518611758,722,0
500095,282,248.1800507870394,248.1800507870394,212,1
500096,225,288.7605699037598,288.7605699037598,177,1
500097,229,320.2570444715509,320.2570444715509,163,1
500098,278,269.38340772039487,269.38340772039487,182,1
500099,158,252.5382955254965,252.5382955254965,103,1
