seed,steps,raw_return,cost_return,n_actions,solved
500000,129,-129.0,-129.0,113,1
500001,200,-200.0,-200.0,200,0
500002,129,-129.0,-129.0,113,1
500003,200,-200.0,-200.0,200,0
500004,123,-123.0,-123.0,105,1
500005,118,-118.0,-118.0,103,1
500006,117,-117.0,-117.0,102,1
500007,200,-200.0,-200.0,200,0
500008,200,-200.0,-200.0,200,0
500009,200,-200.0,-200.0,200,0
500010,139,-139.0,-139.0,118,1
500011,117,-117.0,-117.0,102,1
500012,117,-117.0,-117.0,102,1
500013,128,-128.0,-128.0,111,1
500014,200,-200.0,-200.0,200,0
500015,141,-141.0,-141.0,118,1
500016,200,-200.0,-200.0,200,0
500017,138,-138.0,-138.0,117,1
500018,119,-119.0,-119.0,104,1
500019,127,-127.0,-127.0,105,1
500020,200,-200.0,-200.0,200,0
500021,130,-130.0,-130.0,115,1
500022,130,-130.0,-130.0,115,1
500023,141,-141.0,-141.0,118,1
500024,123,-123.0,-123.0,105,1
500025,150,-150.0,-150.0,125,1
500026,200,-200.0,-200.0,200,0
500027,128,-128.0,-128.0,111,1
500028,200,-200.0,-200.0,200,0
500029,128,-128.0,-128.0,105,1
500030,200,-200.0,-200.0,200,0
500031,136,-136.0,-136.0,119,1
500032,200,-200.0,-200.0,200,0
500033,118,-118.0,-118.0,102,1
500034,117,-117.0,-117.0,102,1
500035,200,-200.0,-200.0,200,0
500036,141,-141.0,-141.0,120,1
500037,117,-117.0,-117.0,102,1
500038,200,-200.0,-200.0,200,0
500039,200,-200.0,-200.0,199,0
500040,119,-119.0,-119.0,104,1
500041,200,-200.0,-200.0,200,0
500042,200,-200.0,-200.0,200,0
500043,200,-200.0,-200.0,200,0
500044,118,-118.0,-118.0,103,1
500045,200,-200.0,-200.0,200,0
500046,118,-118.0,-118.0,102,1
500047,200,-200.0,-200.0,199,0
500048,200,-200.0,-200.0,195,0
500049,200,-200.0,-200.0,200,0
500050,117,-117.0,-117.0,102,1
500051,141,-141.0,-141.0,118,1
500052,152,-152.0,-152.0,125,1
500053,200,-200.0,-200.0,200,0
500054,136,-136.0,-136.0,119,1
500055,200,-200.0,-200.0,200,0
500056,200,-200.0,-200.0,200,0
500057,138,-138.0,-138.0,117,1
500058,123,-123.0,-123.0,105,1
500059,200,-200.0,-200.0,200,0
500060,200,-200.0,-200.0,200,0
500061,118,-118.0,-118.0,103,1
500062,117,-117.0,-117.0,102,1
500063,130,-130.0,-130.0,114,1
500064,123,-123.0,-123.0,105,1
500065,139,-139.0,-139.0,121,1
500066,136,-136.0,-136.0,119,1
500067,138,-138.0,-138.0,117,1
500068,139,-139.0,-139.0,118,1
500069,136,-136.0,-136.0,119,1
500070,117,-117.0,-117.0,102,1
500071,200,-200.0,-200.0,200,0
500072,200,-200.0,-200.0,200,0
500073,200,-200.0,-200.0,200,0
500074,123,-123.0,-123.0,105,1
500075,200,-200.0,-200.0,200,0
500076,138,-138.0,-138.0,117,1
500077,200,-200.0,-200.0,200,0
500078,200,-200.0,-200.0,200,0
500079,141,-141.0,-141.0,118,1
500080,131,-131.0,-131.0,116,1
500081,118,-118.0,-118.0,103,1
500082,138,-138.0,-138.0,120,1
500083,130,-130.0,-130.0,115,1
500084,200,-200.0,-200.0,200,0
500085,200,-200.0,-200.0,199,0
500086,138,-138.0,-138.0,120,1
500087,118,-118.0,-118.0,103,1
500088,200,-200.0,-200.0,200,0
500089,135,-135.0,-135.0,119,1
500090,200,-200.0,-200.0,196,0
500091,200,-200.0,-200.0,199,0
500092,118,-118.0,-118.0,103,1
500093,119,-119.0,-119.0,104,1
500094,123,-123.0,-123.0,105,1
500095,200,-200.0,-200.0,200,0
500096,128,-128.0,-128.0,111,1
500097,129,-129.0,-129.0,113,1
500098,118,-118.0,-118.0,103,1
500099,200,-200.0,-200.0,200,0
