raw_return_iqm,raw_return_mean,cost_return_iqm,cost_return_mean,n_actions_mean,steps_mean,solved_rate,step,loss,eps
-200.0,-200.0,-200.0,-200.0,200.0,200.0,0.0,20000,0.23239178955554962,0.2
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,40000,0.1041804850101471,0.2
-200.0,-200.0,-200.0,-200.0,200.0,200.0,0.0,60000,0.0465131551027298,0.2
-200.0,-200.0,-200.0,-200.0,200.0,200.0,0.0,80000,0.020791364833712578,0.2
-200.0,-200.0,-200.0,-200.0,200.0,200.0,0.0,100000,0.009336333721876144,0.2
-200.0,-200.0,-200.0,-200.0,200.0,200.0,0.0,120000,0.0032882385421544313,0.2
-200.0,-200.0,-200.0,-200.0,200.0,200.0,0.0,140000,0.0016214054776355624,0.2
-119.5,-119.4,-119.5,-119.4,119.4,119.4,1.0,160000,0.0006475159898400307,0.2
-119.33333333333333,-119.0,-119.33333333333333,-119.0,119.0,119.0,1.0,180000,0.00015472725499421358,0.2
-200.0,-200.0,-200.0,-200.0,200.0,200.0,0.0,200000,3.1985076930141076e-05,0.2
-123.16666666666667,-123.6,-123.16666666666667,-123.6,119.6,123.6,1.0,220000,2.910180228354875e-05,0.2
-200.0,-200.0,-200.0,-200.0,200.0,200.0,0.0,240000,4.667997927754186e-05,0.2
-119.33333333333333,-119.1,-119.33333333333333,-119.1,117.2,119.1,1.0,260000,3.574801667127758e-05,0.2
-200.0,-200.0,-200.0,-200.0,200.0,200.0,0.0,280000,4.8681089538149536e-05,0.2
-119.33333333333333,-119.0,-119.33333333333333,-119.0,119.0,119.0,1.0,300000,2.780398790491745e-05,0.2
