seed,steps,raw_return,cost_return,n_actions,solved
501000,143,-143.0,-143.0,143,1
501001,158,-158.0,-158.0,147,1
501002,148,-148.0,-148.0,146,1
501003,143,-143.0,-143.0,143,1
501004,91,-91.0,-91.0,91,1
501005,89,-89.0,-89.0,89,1
501006,90,-90.0,-90.0,90,1
501007,147,-147.0,-147.0,147,1
501008,89,-89.0,-89.0,89,1
501009,147,-147.0,-147.0,145,1
501010,153,-153.0,-153.0,153,1
501011,164,-164.0,-164.0,158,1
501012,149,-149.0,-149.0,147,1
501013,157,-157.0,-157.0,148,1
501014,162,-162.0,-162.0,152,1
501015,159,-159.0,-159.0,148,1
501016,143,-143.0,-143.0,143,1
501017,143,-143.0,-143.0,143,1
501018,90,-90.0,-90.0,90,1
501019,148,-148.0,-148.0,146,1
501020,88,-88.0,-88.0,88,1
501021,102,-102.0,-102.0,102,1
501022,89,-89.0,-89.0,89,1
501023,146,-146.0,-146.0,146,1
501024,162,-162.0,-162.0,153,1
501025,90,-90.0,-90.0,90,1
501026,97,-97.0,-97.0,97,1
501027,95,-95.0,-95.0,95,1
501028,151,-151.0,-151.0,151,1
501029,152,-152.0,-152.0,152,1
501030,162,-162.0,-162.0,153,1
501031,95,-95.0,-95.0,95,1
501032,144,-144.0,-144.0,144,1
501033,147,-147.0,-147.0,147,1
501034,149,-149.0,-149.0,149,1
501035,86,-86.0,-86.0,86,1
501036,98,-98.0,-98.0,98,1
501037,149,-149.0,-149.0,146,1
501038,98,-98.0,-98.0,98,1
501039,147,-147.0,-147.0,145,1
501040,148,-148.0,-148.0,146,1
501041,100,-100.0,-100.0,100,1
501042,86,-86.0,-86.0,86,1
501043,87,-87.0,-87.0,87,1
501044,148,-148.0,-148.0,146,1
501045,158,-158.0,-158.0,147,1
501046,90,-90.0,-90.0,90,1
501047,148,-148.0,-148.0,146,1
501048,87,-87.0,-87.0,87,1
501049,94,-94.0,-94.0,94,1
501050,148,-148.0,-148.0,146,1
501051,151,-151.0,-151.0,151,1
501052,152,-152.0,-152.0,152,1
501053,148,-148.0,-148.0,148,1
501054,87,-87.0,-87.0,87,1
501055,160,-160.0,-160.0,151,1
501056,95,-95.0,-95.0,95,1
501057,87,-87.0,-87.0,87,1
501058,87,-87.0,-87.0,87,1
501059,87,-87.0,-87.0,87,1
501060,149,-149.0,-149.0,149,1
501061,147,-147.0,-147.0,145,1
501062,158,-158.0,-158.0,147,1
501063,91,-91.0,-91.0,91,1
501064,87,-87.0,-87.0,87,1
501065,150,-150.0,-150.0,150,1
501066,87,-87.0,-87.0,87,1
501067,167,-167.0,-167.0,162,1
501068,164,-164.0,-164.0,158,1
501069,99,-99.0,-99.0,99,1
501070,158,-158.0,-158.0,149,1
501071,93,-93.0,-93.0,93,1
501072,147,-147.0,-147.0,147,1
501073,149,-149.0,-149.0,147,1
501074,86,-86.0,-86.0,86,1
501075,143,-143.0,-143.0,143,1
501076,87,-87.0,-87.0,87,1
501077,157,-157.0,-157.0,147,1
501078,153,-153.0,-153.0,153,1
501079,143,-143.0,-143.0,143,1
501080,153,-153.0,-153.0,152,1
501081,86,-86.0,-86.0,86,1
501082,148,-148.0,-148.0,148,1
501083,153,-153.0,-153.0,153,1
501084,149,-149.0,-149.0,146,1
501085,147,-147.0,-147.0,145,1
501086,91,-91.0,-91.0,91,1
501087,148,-148.0,-148.0,148,1
501088,86,-86.0,-86.0,86,1
501089,88,-88.0,-88.0,88,1
501090,90,-90.0,-90.0,90,1
501091,86,-86.0,-86.0,86,1
501092,153,-153.0,-153.0,153,1
501093,94,-94.0,-94.0,94,1
501094,143,-143.0,-143.0,143,1
501095,154,-154.0,-154.0,150,1
501096,87,-87.0,-87.0,87,1
501097,155,-155.0,-155.0,150,1
501098,148,-148.0,-148.0,146,1
501099,92,-92.0,-92.0,92,1
