seed,steps,raw_return,cost_return,n_actions,solved
500000,112,-112.0,-112.0,112,1
500001,116,-116.0,-116.0,104,1
500002,112,-112.0,-112.0,112,1
500003,112,-112.0,-112.0,112,1
500004,113,-113.0,-113.0,105,1
500005,112,-112.0,-112.0,102,1
500006,112,-112.0,-112.0,102,1
500007,83,-83.0,-83.0,83,1
500008,96,-96.0,-96.0,89,1
500009,84,-84.0,-84.0,84,1
500010,112,-112.0,-112.0,112,1
500011,112,-112.0,-112.0,104,1
500012,112,-112.0,-112.0,102,1
500013,112,-112.0,-112.0,112,1
500014,83,-83.0,-83.0,83,1
500015,112,-112.0,-112.0,112,1
500016,133,-133.0,-133.0,122,1
500017,112,-112.0,-112.0,112,1
500018,113,-113.0,-113.0,103,1
500019,115,-115.0,-115.0,101,1
500020,111,-111.0,-111.0,111,1
500021,112,-112.0,-112.0,112,1
500022,112,-112.0,-112.0,112,1
500023,112,-112.0,-112.0,112,1
500024,113,-113.0,-113.0,105,1
500025,116,-116.0,-116.0,104,1
500026,116,-116.0,-116.0,104,1
500027,112,-112.0,-112.0,112,1
500028,132,-132.0,-132.0,124,1
500029,115,-115.0,-115.0,101,1
500030,112,-112.0,-112.0,112,1
500031,112,-112.0,-112.0,112,1
500032,97,-97.0,-97.0,90,1
500033,112,-112.0,-112.0,104,1
500034,112,-112.0,-112.0,104,1
500035,83,-83.0,-83.0,83,1
500036,112,-112.0,-112.0,112,1
500037,112,-112.0,-112.0,104,1
500038,85,-85.0,-85.0,85,1
500039,112,-112.0,-112.0,112,1
500040,113,-113.0,-113.0,105,1
500041,84,-84.0,-84.0,84,1
500042,96,-96.0,-96.0,89,1
500043,115,-115.0,-115.0,103,1
500044,112,-112.0,-112.0,104,1
500045,95,-95.0,-95.0,88,1
500046,112,-112.0,-112.0,104,1
500047,117,-117.0,-117.0,105,1
500048,117,-117.0,-117.0,105,1
500049,83,-83.0,-83.0,83,1
500050,113,-113.0,-113.0,103,1
500051,112,-112.0,-112.0,112,1
500052,117,-117.0,-117.0,105,1
500053,84,-84.0,-84.0,84,1
500054,112,-112.0,-112.0,112,1
500055,111,-111.0,-111.0,111,1
500056,85,-85.0,-85.0,85,1
500057,112,-112.0,-112.0,112,1
500058,113,-113.0,-113.0,105,1
500059,116,-116.0,-116.0,104,1
500060,84,-84.0,-84.0,84,1
500061,112,-112.0,-112.0,102,1
500062,112,-112.0,-112.0,104,1
500063,112,-112.0,-112.0,112,1
500064,113,-113.0,-113.0,105,1
500065,112,-112.0,-112.0,112,1
500066,112,-112.0,-112.0,112,1
500067,112,-112.0,-112.0,112,1
500068,112,-112.0,-112.0,112,1
500069,112,-112.0,-112.0,112,1
500070,112,-112.0,-112.0,104,1
500071,83,-83.0,-83.0,83,1
500072,84,-84.0,-84.0,84,1
500073,84,-84.0,-84.0,84,1
500074,113,-113.0,-113.0,105,1
500075,133,-133.0,-133.0,122,1
500076,112,-112.0,-112.0,112,1
500077,83,-83.0,-83.0,83,1
500078,112,-112.0,-112.0,112,1
500079,112,-112.0,-112.0,112,1
500080,112,-112.0,-112.0,112,1
500081,112,-112.0,-112.0,102,1
500082,112,-112.0,-112.0,112,1
500083,112,-112.0,-112.0,112,1
500084,112,-112.0,-112.0,112,1
500085,117,-117.0,-117.0,105,1
500086,112,-112.0,-112.0,112,1
500087,113,-113.0,-113.0,103,1
500088,132,-132.0,-132.0,124,1
500089,112,-112.0,-112.0,112,1
500090,112,-112.0,-112.0,112,1
500091,112,-112.0,-112.0,112,1
500092,112,-112.0,-112.0,102,1
500093,112,-112.0,-112.0,104,1
500094,113,-113.0,-113.0,105,1
500095,132,-132.0,-132.0,124,1
500096,112,-112.0,-112.0,112,1
500097,112,-112.0,-112.0,112,1
500098,112,-112.0,-112.0,102,1
500099,116,-116.0,-116.0,104,1
