raw_return_iqm,raw_return_mean,cost_return_iqm,cost_return_mean,n_actions_mean,steps_mean,solved_rate,step,loss,eps
-200.0,-200.0,-200.0,-200.0,200.0,200.0,0.0,20000,0.23238730430603027,0.2
-200.0,-200.0,-200.0,-200.0,199.8,200.0,0.0,40000,0.10355647653341293,0.2
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,60000,0.046127256006002426,0.2
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,80002,0.013608365319669247,0.2
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,100000,0.008856937289237976,0.2
-200.0,-200.0,-200.0,-200.0,200.0,200.0,0.0,120007,0.001045144279487431,0.2
-200.0,-200.0,-200.0,-200.0,106.6,200.0,0.0,140000,0.004210531711578369,0.2
-196.33333333333334,-184.0,-196.33333333333334,-184.0,184.0,184.0,0.3,160003,0.00864641647785902,0.2
-200.0,-193.3,-200.0,-193.3,161.1,193.3,0.1,180008,0.08886650204658508,0.2
-200.0,-200.0,-200.0,-200.0,200.0,200.0,0.0,200005,0.43962517380714417,0.2
-200.0,-192.8,-200.0,-192.8,181.8,192.8,0.1,220000,0.4197605550289154,0.2
-171.66666666666666,-173.6,-171.66666666666666,-173.6,79.1,173.6,0.6,240009,0.4467714726924896,0.2
-200.0,-193.2,-200.0,-193.2,170.3,193.2,0.1,260000,0.918529748916626,0.2
-164.16666666666666,-167.9,-164.16666666666666,-167.9,163.6,167.9,0.9,280000,0.6823155283927917,0.2
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,300000,0.16025342047214508,0.2
