
===== LunarLander-v3@tunedbase =====
               agent      lam  n_seeds  cost_return_iqm  cost_return_ci_lo  cost_return_ci_hi  n_actions_iqm  solved_iqm
                lazy     0.00       10           194.63             152.96             213.83         188.14        0.94
                lazy     0.10       10           203.79             157.63             226.33         179.37        0.94
                lazy     0.30       10           149.47             128.64             169.41         169.88        0.96
                lazy     0.60       10           103.98              41.50             131.73         175.57        0.92
                lazy     1.00       10            -6.79             -48.72              28.33         183.08        0.97
                lazy     1.20       10            -8.03             -29.44               9.37         142.97        0.99
                lazy     1.37       10           -50.17             -87.44              -9.02         144.97        0.98
                lazy     1.60       10          -124.26            -213.86             -76.11         155.38        0.99
                lazy     1.80       10          -116.65            -185.86             -90.09         111.14        0.99
                lazy     2.00       10          -134.49            -176.55            -107.53         102.95        0.99
                lazy     2.50       10          -167.26            -233.39            -140.47          85.04        1.00
                lazy     3.00       10          -184.07            -226.12            -146.91          49.83        1.00
           rule_best     0.00       10           162.28             156.83             167.55         162.31        0.99
           rule_best     0.10       10           146.10             140.73             151.20         162.31        0.99
           rule_best     0.30       10           113.76             108.43             118.07         162.31        0.99
           rule_best     0.60       10            65.01              59.56              68.70         162.31        0.99
           rule_best     1.00       10            -0.57              -6.62               4.75         162.31        0.99
           rule_best     1.20       10           -33.35             -39.70             -27.02         162.31        0.99
           rule_best     1.37       10           -61.21             -67.89             -53.85         162.31        0.99
           rule_best     1.60       10           -98.81            -106.13             -90.24         162.31        0.99
           rule_best     1.80       10          -131.24            -139.50            -121.71         162.31        0.99
           rule_best     2.00       10          -131.29            -133.50            -128.45           0.00        1.00
           rule_best     2.50       10          -131.29            -133.50            -128.45           0.00        1.00
           rule_best     3.00       10          -131.29            -133.50            -128.45           0.00        1.00
           rule_noop     0.00       10          -131.29            -133.50            -128.45           0.00        1.00
           rule_noop     0.10       10          -131.29            -133.50            -128.45           0.00        1.00
           rule_noop     0.30       10          -131.29            -133.50            -128.45           0.00        1.00
           rule_noop     0.60       10          -131.29            -133.50            -128.45           0.00        1.00
           rule_noop     1.00       10          -131.29            -133.50            -128.45           0.00        1.00
           rule_noop     1.20       10          -131.29            -133.50            -128.45           0.00        1.00
           rule_noop     1.37       10          -131.29            -133.50            -128.45           0.00        1.00
           rule_noop     1.60       10          -131.29            -133.50            -128.45           0.00        1.00
           rule_noop     1.80       10          -131.29            -133.50            -128.45           0.00        1.00
           rule_noop     2.00       10          -131.29            -133.50            -128.45           0.00        1.00
           rule_noop     2.50       10          -131.29            -133.50            -128.45           0.00        1.00
           rule_noop     3.00       10          -131.29            -133.50            -128.45           0.00        1.00
    rule_periodic_k1     0.00       10          -581.50            -586.88            -575.58          67.09        1.00
    rule_periodic_k1     0.10       10          -588.21            -593.60            -582.22          67.09        1.00
    rule_periodic_k1     0.30       10          -601.62            -607.05            -595.66          67.09        1.00
    rule_periodic_k1     0.60       10          -621.74            -627.36            -615.70          67.09        1.00
    rule_periodic_k1     1.00       10          -648.57            -654.39            -642.49          67.09        1.00
    rule_periodic_k1     1.20       10          -661.98            -667.86            -655.83          67.09        1.00
    rule_periodic_k1     1.37       10          -673.38            -679.36            -667.14          67.09        1.00
    rule_periodic_k1     1.60       10          -688.81            -694.92            -682.52          67.09        1.00
    rule_periodic_k1     1.80       10          -702.22            -708.46            -695.83          67.09        1.00
    rule_periodic_k1     2.00       10          -715.64            -722.00            -709.21          67.09        1.00
    rule_periodic_k1     2.50       10          -749.17            -755.75            -742.54          67.09        1.00
    rule_periodic_k1     3.00       10          -782.71            -789.55            -775.86          67.09        1.00
    rule_periodic_k2     0.00       10          -369.06            -372.29            -363.86          34.31        1.00
    rule_periodic_k2     0.10       10          -372.49            -375.76            -367.29          34.31        1.00
    rule_periodic_k2     0.30       10          -379.36            -382.70            -374.11          34.31        1.00
    rule_periodic_k2     0.60       10          -389.67            -393.11            -384.32          34.31        1.00
    rule_periodic_k2     1.00       10          -403.41            -406.99            -397.94          34.31        1.00
    rule_periodic_k2     1.20       10          -410.28            -413.93            -404.75          34.31        1.00
    rule_periodic_k2     1.37       10          -416.12            -419.82            -410.54          34.31        1.00
    rule_periodic_k2     1.60       10          -424.01            -427.79            -418.40          34.31        1.00
    rule_periodic_k2     1.80       10          -430.85            -434.70            -425.22          34.31        1.00
    rule_periodic_k2     2.00       10          -437.70            -441.63            -432.03          34.31        1.00
