
===== LunarLander-v3 =====
           agent      lam  n_seeds  cost_return_iqm  cost_return_ci_lo  cost_return_ci_hi  n_actions_iqm  solved_iqm
             dqn     0.00       10           188.86             171.26             216.54         340.85        0.81
             dqn     0.10       10           189.08             144.72             207.45         222.46        0.96
             dqn     0.30       10           140.94              99.29             168.55         176.71        0.95
             dqn     0.60       10            90.23              62.09             104.55         156.24        0.97
             dqn     1.00       10           -12.75             -59.81              33.91         144.03        0.98
             dqn     1.37       10           -60.67             -86.04             -34.12         148.71        0.99
             dqn     2.00       10          -134.40            -152.08            -115.03         111.72        1.00
             dqn     3.00       10          -209.94            -334.93            -149.27          63.45        1.00
            lazy     0.00       10           210.13             179.66             234.49         246.59        0.90
            lazy     0.10       10           212.95             170.68             227.46         183.51        0.95
            lazy     0.30       10           147.09             128.52             162.32         150.79        0.97
            lazy     0.60       10           102.92              53.60             142.30         138.89        0.98
            lazy     1.00       10            36.77             -39.61              66.09         119.34        0.98
            lazy     1.37       10           -47.04             -67.61             -25.52         119.45        0.99
            lazy     2.00       10          -157.44            -221.92            -109.68         118.28        1.00
            lazy     3.00       10          -174.67            -267.98            -137.30          37.49        1.00
       rule_best     0.00       10            35.79              34.26              37.54         121.30        1.00
       rule_best     0.10       10            23.63              22.11              25.40         121.30        1.00
       rule_best     0.30       10            -0.69              -2.20               1.08         121.30        1.00
       rule_best     0.60       10           -37.17             -38.67             -35.36         121.30        1.00
       rule_best     1.00       10           -85.70             -87.44             -83.90         121.30        1.00
       rule_best     1.37       10          -130.55            -132.57            -128.77         121.30        1.00
       rule_best     2.00       10          -131.29            -133.50            -128.45           0.00        1.00
       rule_best     3.00       10          -131.29            -133.50            -128.45           0.00        1.00
       rule_noop     0.00       10          -131.29            -133.50            -128.45           0.00        1.00
       rule_noop     0.10       10          -131.29            -133.50            -128.45           0.00        1.00
       rule_noop     0.30       10          -131.29            -133.50            -128.45           0.00        1.00
       rule_noop     0.60       10          -131.29            -133.50            -128.45           0.00        1.00
       rule_noop     1.00       10          -131.29            -133.50            -128.45           0.00        1.00
       rule_noop     1.37       10          -131.29            -133.50            -128.45           0.00        1.00
       rule_noop     2.00       10          -131.29            -133.50            -128.45           0.00        1.00
       rule_noop     3.00       10          -131.29            -133.50            -128.45           0.00        1.00
rule_periodic_k1     0.00       10          -581.50            -586.88            -575.58          67.09        1.00
rule_periodic_k1     0.10       10          -588.21            -593.60            -582.22          67.09        1.00
rule_periodic_k1     0.30       10          -601.62            -607.05            -595.66          67.09        1.00
rule_periodic_k1     0.60       10          -621.74            -627.36            -615.70          67.09        1.00
rule_periodic_k1     1.00       10          -648.57            -654.39            -642.49          67.09        1.00
rule_periodic_k1     1.37       10          -673.38            -679.36            -667.14          67.09        1.00
rule_periodic_k1     2.00       10          -715.64            -722.00            -709.21          67.09        1.00
rule_periodic_k1     3.00       10          -782.71            -789.55            -775.86          67.09        1.00
rule_periodic_k2     0.00       10          -369.06            -372.29            -363.86          34.31        1.00
rule_periodic_k2     0.10       10          -372.49            -375.76            -367.29          34.31        1.00
rule_periodic_k2     0.30       10          -379.36            -382.70            -374.11          34.31        1.00
rule_periodic_k2     0.60       10          -389.67            -393.11            -384.32          34.31        1.00
rule_periodic_k2     1.00       10          -403.41            -406.99            -397.94          34.31        1.00
rule_periodic_k2     1.37       10          -416.12            -419.82            -410.54          34.31        1.00
rule_periodic_k2     2.00       10          -437.70            -441.63            -432.03          34.31        1.00
rule_periodic_k2     3.00       10          -471.93            -476.22            -466.12          34.31        1.00
rule_periodic_k4     0.00       10          -233.40            -236.16            -231.63          17.96        1.00
rule_periodic_k4     0.10       10          -235.20            -237.95            -233.43          17.96        1.00
rule_periodic_k4     0.30       10          -238.81            -241.52            -237.03          17.96        1.00
rule_periodic_k4     0.60       10          -244.20            -246.91            -242.45          17.96        1.00
rule_periodic_k4     1.00       10          -251.37            -254.12            -249.64          17.96        1.00
rule_periodic_k4     1.37       10          -258.01            -260.79            -256.30          17.96        1.00
rule_periodic_k4     2.00       10          -269.31            -272.11            -267.65          17.96        1.00
rule_periodic_k4     3.00       10          -287.25            -290.08            -285.63          17.96        1.00
rule_periodic_k8     0.00       10          -171.04            -174.53            -168.27           9.24        1.00
rule_periodic_k8     0.10       10          -171.96            -175.46            -169.20           9.24        1.00
rule_periodic_k8     0.30       10          -173.81            -177.30            -171.05           9.24        1.00
rule_periodic_k8     0.60       10          -176.58            -180.06            -173.83           9.24        1.00
rule_periodic_k8     1.00       10          -180.27            -183.74            -177.55           9.24        1.00
rule_periodic_k8     1.37       10          -183.69            -187.16            -180.99           9.24        1.00
rule_periodic_k8     2.00       10          -189.51            -192.97            -186.84           9.24        1.00
rule_periodic_k8     3.00       10          -198.75            -202.19            -196.12           9.24        1.00
  rule_threshold     0.00       10            35.79              34.26              37.54         121.30        1.00
  rule_threshold     0.10       10            23.63              22.11              25.40         121.30        1.00
  rule_threshold     0.30       10            -0.69              -2.20               1.08         121.30        1.00
  rule_threshold     0.60       10           -37.17             -38.67             -35.36         121.30        1.00
  rule_threshold     1.00       10           -85.70             -87.44             -83.90         121.30        1.00
  rule_threshold     1.37       10          -130.55            -132.57            -128.77         121.30        1.00
  rule_threshold     2.00       10          -206.90            -209.25            -205.21         121.30        1.00
  rule_threshold     3.00       10          -328.10            -330.74            -326.46         121.30        1.00
         temporl     0.00       10           159.13             129.43             181.55         406.49        0.68
         temporl     0.10       10           118.90              54.55             176.71         393.22        0.67
         temporl     0.30       10            80.70               3.26             157.56         260.63        0.83
         temporl     0.60       10            59.42              -2.22             128.28         210.25        0.95
         temporl     1.00       10           -34.20            -129.23              25.50         218.19        0.94
         temporl     1.37       10           -52.16             -97.28              -3.48         135.14        1.00
         temporl     2.00       10          -153.40            -238.49            -127.24         113.38        0.99
         temporl     3.00       10          -286.03            -341.47            -204.68          97.83        1.00
