
==========================================================================
[1/10 집계] --env all --reps 10000
==========================================================================

===== LunarLander-v3 =====
               agent      lam  n_seeds  cost_return_iqm  cost_return_ci_lo  cost_return_ci_hi  n_actions_iqm  solved_iqm
                 dqn     0.00       10           188.86             171.26             216.54         340.85        0.81
                 dqn     0.10       10           189.08             144.72             207.45         222.46        0.96
                 dqn     0.30       10           140.94              99.29             168.55         176.71        0.95
                 dqn     0.60       10            90.23              62.09             104.55         156.24        0.97
                 dqn     1.00       10           -12.75             -59.81              33.91         144.03        0.98
                 dqn     1.20       10           -32.53             -93.89             -13.78         178.08        0.98
                 dqn     1.37       10           -60.67             -86.04             -34.12         148.71        0.99
                 dqn     1.60       10          -149.70            -197.00            -119.13         167.59        0.97
                 dqn     1.80       10          -146.32            -233.49            -111.23         134.14        1.00
                 dqn     2.00       10          -134.40            -152.08            -115.03         111.72        1.00
                 dqn     2.50       10          -258.74            -377.64            -169.03         115.47        0.99
                 dqn     3.00       10          -209.94            -334.93            -149.27          63.45        1.00
                lazy     0.00       10           210.13             179.66             234.49         246.59        0.90
                lazy     0.10       10           212.95             170.68             227.46         183.51        0.95
                lazy     0.30       10           147.09             128.52             162.32         150.79        0.97
                lazy     0.60       10           102.92              53.60             142.30         138.89        0.98
                lazy     1.00       10            36.77             -39.61              66.09         119.34        0.98
                lazy     1.20       10             5.22             -17.87              27.20         115.26        0.99
                lazy     1.37       10           -47.04             -67.61             -25.52         119.45        0.99
                lazy     1.60       10           -61.42             -86.32             -30.44         105.67        1.00
                lazy     1.80       10           -97.11            -107.96             -77.00          75.14        1.00
                lazy     2.00       10          -157.44            -221.92            -109.68         118.28        1.00
                lazy     2.50       10          -191.52            -294.22            -155.30          92.02        0.99
                lazy     3.00       10          -174.67            -267.98            -137.30          37.49        1.00
           rule_best     0.00       10           162.28             156.83             167.55         162.31        0.99
           rule_best     0.10       10           146.10             140.73             151.20         162.31        0.99
           rule_best     0.30       10           113.76             108.43             118.07         162.31        0.99
           rule_best     0.60       10            65.01              59.56              68.70         162.31        0.99
           rule_best     1.00       10            -0.57              -6.62               4.75         162.31        0.99
           rule_best     1.20       10           -33.35             -39.70             -27.02         162.31        0.99
           rule_best     1.37       10           -61.21             -67.89             -53.85         162.31        0.99
           rule_best     1.60       10           -98.81            -106.13             -90.24         162.31        0.99
           rule_best     1.80       10          -131.24            -139.50            -121.71         162.31        0.99
           rule_best     2.00       10          -131.29            -133.50            -128.45           0.00        1.00
           rule_best     2.50       10          -131.29            -133.50            -128.45           0.00        1.00
           rule_best     3.00       10          -131.29            -133.50            -128.45           0.00        1.00
           rule_noop     0.00       10          -131.29            -133.50            -128.45           0.00        1.00
           rule_noop     0.10       10          -131.29            -133.50            -128.45           0.00        1.00
           rule_noop     0.30       10          -131.29            -133.50            -128.45           0.00        1.00
           rule_noop     0.60       10          -131.29            -133.50            -128.45           0.00        1.00
           rule_noop     1.00       10          -131.29            -133.50            -128.45           0.00        1.00
           rule_noop     1.20       10          -131.29            -133.50            -128.45           0.00        1.00
           rule_noop     1.37       10          -131.29            -133.50            -128.45           0.00        1.00
           rule_noop     1.60       10          -131.29            -133.50            -128.45           0.00        1.00
           rule_noop     1.80       10          -131.29            -133.50            -128.45           0.00        1.00
           rule_noop     2.00       10          -131.29            -133.50            -128.45           0.00        1.00
           rule_noop     2.50       10          -131.29            -133.50            -128.45           0.00        1.00
           rule_noop     3.00       10          -131.29            -133.50            -128.45           0.00        1.00
    rule_periodic_k1     0.00       10          -581.50            -586.88            -575.58          67.09        1.00
    rule_periodic_k1     0.10       10          -588.21            -593.60            -582.22          67.09        1.00
    rule_periodic_k1     0.30       10          -601.62            -607.05            -595.66          67.09        1.00
    rule_periodic_k1     0.60       10          -621.74            -627.36            -615.70          67.09        1.00
    rule_periodic_k1     1.00       10          -648.57            -654.39            -642.49          67.09        1.00
    rule_periodic_k1     1.20       10          -661.98            -667.86            -655.83          67.09        1.00
    rule_periodic_k1     1.37       10          -673.38            -679.36            -667.14          67.09        1.00
    rule_periodic_k1     1.60       10          -688.81            -694.92            -682.52          67.09        1.00
    rule_periodic_k1     1.80       10          -702.22            -708.46            -695.83          67.09        1.00
    rule_periodic_k1     2.00       10          -715.64            -722.00            -709.21          67.09        1.00
    rule_periodic_k1     2.50       10          -749.17            -755.75            -742.54          67.09        1.00
    rule_periodic_k1     3.00       10          -782.71            -789.55            -775.86          67.09        1.00
    rule_periodic_k2     0.00       10          -369.06            -372.29            -363.86          34.31        1.00
    rule_periodic_k2     0.10       10          -372.49            -375.76            -367.29          34.31        1.00
    rule_periodic_k2     0.30       10          -379.36            -382.70            -374.11          34.31        1.00
    rule_periodic_k2     0.60       10          -389.67            -393.11            -384.32          34.31        1.00
    rule_periodic_k2     1.00       10          -403.41            -406.99            -397.94          34.31        1.00
    rule_periodic_k2     1.20       10          -410.28            -413.93            -404.75          34.31        1.00
    rule_periodic_k2     1.37       10          -416.12            -419.82            -410.54          34.31        1.00
    rule_periodic_k2     1.60       10          -424.01            -427.79            -418.40          34.31        1.00
    rule_periodic_k2     1.80       10          -430.85            -434.70            -425.22          34.31        1.00
    rule_periodic_k2     2.00       10          -437.70            -441.63            -432.03          34.31        1.00
    rule_periodic_k2     2.50       10          -454.81            -458.92            -449.07          34.31        1.00
    rule_periodic_k2     3.00       10          -471.93            -476.22            -466.12          34.31        1.00
    rule_periodic_k4     0.00       10          -233.40            -236.16            -231.63          17.96        1.00
    rule_periodic_k4     0.10       10          -235.20            -237.95            -233.43          17.96        1.00
    rule_periodic_k4     0.30       10          -238.81            -241.52            -237.03          17.96        1.00
    rule_periodic_k4     0.60       10          -244.20            -246.91            -242.45          17.96        1.00
    rule_periodic_k4     1.00       10          -251.37            -254.12            -249.64          17.96        1.00
    rule_periodic_k4     1.20       10          -254.96            -257.72            -253.24          17.96        1.00
