[규칙 rule_noop          λ=0.0] r IQM  -136.08 | r' IQM  -136.08 | 행동    0.0회 | 성공률 100.0% (마지막 시드 기준)
[규칙 rule_periodic_k1   λ=0.0] r IQM  -551.99 | r' IQM  -551.99 | 행동   67.2회 | 성공률 100.0% (마지막 시드 기준)
[규칙 rule_periodic_k2   λ=0.0] r IQM  -362.87 | r' IQM  -362.87 | 행동   34.3회 | 성공률 100.0% (마지막 시드 기준)
[규칙 rule_periodic_k4   λ=0.0] r IQM  -229.26 | r' IQM  -229.26 | 행동   17.9회 | 성공률 100.0% (마지막 시드 기준)
[규칙 rule_periodic_k8   λ=0.0] r IQM  -158.79 | r' IQM  -158.79 | 행동    9.2회 | 성공률 100.0% (마지막 시드 기준)
[규칙 rule_threshold     λ=0.0] r IQM    34.87 | r' IQM    34.87 | 행동  121.2회 | 성공률 100.0% (마지막 시드 기준)
[규칙 rule_noop          λ=0.1] r IQM  -136.08 | r' IQM  -136.08 | 행동    0.0회 | 성공률 100.0% (마지막 시드 기준)
[규칙 rule_periodic_k1   λ=0.1] r IQM  -551.99 | r' IQM  -558.57 | 행동   67.2회 | 성공률 100.0% (마지막 시드 기준)
[규칙 rule_periodic_k2   λ=0.1] r IQM  -362.87 | r' IQM  -366.29 | 행동   34.3회 | 성공률 100.0% (마지막 시드 기준)
[규칙 rule_periodic_k4   λ=0.1] r IQM  -229.26 | r' IQM  -231.08 | 행동   17.9회 | 성공률 100.0% (마지막 시드 기준)
[규칙 rule_periodic_k8   λ=0.1] r IQM  -158.79 | r' IQM  -159.70 | 행동    9.2회 | 성공률 100.0% (마지막 시드 기준)
[규칙 rule_threshold     λ=0.1] r IQM    34.87 | r' IQM    22.57 | 행동  121.2회 | 성공률 100.0% (마지막 시드 기준)
[규칙 rule_noop          λ=0.3] r IQM  -136.08 | r' IQM  -136.08 | 행동    0.0회 | 성공률 100.0% (마지막 시드 기준)
[규칙 rule_periodic_k1   λ=0.3] r IQM  -551.99 | r' IQM  -571.74 | 행동   67.2회 | 성공률 100.0% (마지막 시드 기준)
[규칙 rule_periodic_k2   λ=0.3] r IQM  -362.87 | r' IQM  -373.14 | 행동   34.3회 | 성공률 100.0% (마지막 시드 기준)
[규칙 rule_periodic_k4   λ=0.3] r IQM  -229.26 | r' IQM  -234.70 | 행동   17.9회 | 성공률 100.0% (마지막 시드 기준)
[규칙 rule_periodic_k8   λ=0.3] r IQM  -158.79 | r' IQM  -161.52 | 행동    9.2회 | 성공률 100.0% (마지막 시드 기준)
[규칙 rule_threshold     λ=0.3] r IQM    34.87 | r' IQM    -2.08 | 행동  121.2회 | 성공률 100.0% (마지막 시드 기준)
[규칙 rule_noop          λ=0.6] r IQM  -136.08 | r' IQM  -136.08 | 행동    0.0회 | 성공률 100.0% (마지막 시드 기준)
[규칙 rule_periodic_k1   λ=0.6] r IQM  -551.99 | r' IQM  -591.48 | 행동   67.2회 | 성공률 100.0% (마지막 시드 기준)
[규칙 rule_periodic_k2   λ=0.6] r IQM  -362.87 | r' IQM  -383.41 | 행동   34.3회 | 성공률 100.0% (마지막 시드 기준)
[규칙 rule_periodic_k4   λ=0.6] r IQM  -229.26 | r' IQM  -240.14 | 행동   17.9회 | 성공률 100.0% (마지막 시드 기준)
