[규칙 rule_noop          λ=0.0] r IQM  -200.00 | r' IQM  -200.00 | 행동    0.0회 | 성공률   0.0% (마지막 시드 기준)
[규칙 rule_periodic_k1   λ=0.0] r IQM  -200.00 | r' IQM  -200.00 | 행동  200.0회 | 성공률   0.0% (마지막 시드 기준)
[규칙 rule_periodic_k2   λ=0.0] r IQM  -200.00 | r' IQM  -200.00 | 행동  100.0회 | 성공률   0.0% (마지막 시드 기준)
[규칙 rule_periodic_k4   λ=0.0] r IQM  -200.00 | r' IQM  -200.00 | 행동   50.0회 | 성공률   0.0% (마지막 시드 기준)
[규칙 rule_periodic_k8   λ=0.0] r IQM  -200.00 | r' IQM  -200.00 | 행동   25.0회 | 성공률   0.0% (마지막 시드 기준)
[규칙 rule_pump          λ=0.0] r IQM  -120.28 | r' IQM  -120.28 | 행동  119.5회 | 성공률 100.0% (마지막 시드 기준)
[규칙 rule_noop          λ=0.05] r IQM  -200.00 | r' IQM  -200.00 | 행동    0.0회 | 성공률   0.0% (마지막 시드 기준)
[규칙 rule_periodic_k1   λ=0.05] r IQM  -200.00 | r' IQM  -210.00 | 행동  200.0회 | 성공률   0.0% (마지막 시드 기준)
[규칙 rule_periodic_k2   λ=0.05] r IQM  -200.00 | r' IQM  -205.00 | 행동  100.0회 | 성공률   0.0% (마지막 시드 기준)
[규칙 rule_periodic_k4   λ=0.05] r IQM  -200.00 | r' IQM  -202.50 | 행동   50.0회 | 성공률   0.0% (마지막 시드 기준)
[규칙 rule_periodic_k8   λ=0.05] r IQM  -200.00 | r' IQM  -201.25 | 행동   25.0회 | 성공률   0.0% (마지막 시드 기준)
[규칙 rule_pump          λ=0.05] r IQM  -120.28 | r' IQM  -126.29 | 행동  119.5회 | 성공률 100.0% (마지막 시드 기준)
[규칙 rule_noop          λ=0.1] r IQM  -200.00 | r' IQM  -200.00 | 행동    0.0회 | 성공률   0.0% (마지막 시드 기준)
[규칙 rule_periodic_k1   λ=0.1] r IQM  -200.00 | r' IQM  -220.00 | 행동  200.0회 | 성공률   0.0% (마지막 시드 기준)
[규칙 rule_periodic_k2   λ=0.1] r IQM  -200.00 | r' IQM  -210.00 | 행동  100.0회 | 성공률   0.0% (마지막 시드 기준)
[규칙 rule_periodic_k4   λ=0.1] r IQM  -200.00 | r' IQM  -205.00 | 행동   50.0회 | 성공률   0.0% (마지막 시드 기준)
[규칙 rule_periodic_k8   λ=0.1] r IQM  -200.00 | r' IQM  -202.50 | 행동   25.0회 | 성공률   0.0% (마지막 시드 기준)
[규칙 rule_pump          λ=0.1] r IQM  -120.28 | r' IQM  -132.31 | 행동  119.5회 | 성공률 100.0% (마지막 시드 기준)
[규칙 rule_noop          λ=0.2] r IQM  -200.00 | r' IQM  -200.00 | 행동    0.0회 | 성공률   0.0% (마지막 시드 기준)
[규칙 rule_periodic_k1   λ=0.2] r IQM  -200.00 | r' IQM  -240.00 | 행동  200.0회 | 성공률   0.0% (마지막 시드 기준)
[규칙 rule_periodic_k2   λ=0.2] r IQM  -200.00 | r' IQM  -220.00 | 행동  100.0회 | 성공률   0.0% (마지막 시드 기준)
[규칙 rule_periodic_k4   λ=0.2] r IQM  -200.00 | r' IQM  -210.00 | 행동   50.0회 | 성공률   0.0% (마지막 시드 기준)
[규칙 rule_periodic_k8   λ=0.2] r IQM  -200.00 | r' IQM  -205.00 | 행동   25.0회 | 성공률   0.0% (마지막 시드 기준)
[규칙 rule_pump          λ=0.2] r IQM  -120.28 | r' IQM  -144.34 | 행동  119.5회 | 성공률 100.0% (마지막 시드 기준)
[규칙 rule_noop          λ=0.35] r IQM  -200.00 | r' IQM  -200.00 | 행동    0.0회 | 성공률   0.0% (마지막 시드 기준)
[규칙 rule_periodic_k1   λ=0.35] r IQM  -200.00 | r' IQM  -270.00 | 행동  200.0회 | 성공률   0.0% (마지막 시드 기준)
[규칙 rule_periodic_k2   λ=0.35] r IQM  -200.00 | r' IQM  -235.00 | 행동  100.0회 | 성공률   0.0% (마지막 시드 기준)
[규칙 rule_periodic_k4   λ=0.35] r IQM  -200.00 | r' IQM  -217.50 | 행동   50.0회 | 성공률   0.0% (마지막 시드 기준)
[규칙 rule_periodic_k8   λ=0.35] r IQM  -200.00 | r' IQM  -208.75 | 행동   25.0회 | 성공률   0.0% (마지막 시드 기준)
[규칙 rule_pump          λ=0.35] r IQM  -120.28 | r' IQM  -162.38 | 행동  119.5회 | 성공률 100.0% (마지막 시드 기준)
[규칙 rule_noop          λ=0.66] r IQM  -200.00 | r' IQM  -200.00 | 행동    0.0회 | 성공률   0.0% (마지막 시드 기준)
[규칙 rule_periodic_k1   λ=0.66] r IQM  -200.00 | r' IQM  -332.00 | 행동  200.0회 | 성공률   0.0% (마지막 시드 기준)
[규칙 rule_periodic_k2   λ=0.66] r IQM  -200.00 | r' IQM  -266.00 | 행동  100.0회 | 성공률   0.0% (마지막 시드 기준)
[규칙 rule_periodic_k4   λ=0.66] r IQM  -200.00 | r' IQM  -233.00 | 행동   50.0회 | 성공률   0.0% (마지막 시드 기준)
[규칙 rule_periodic_k8   λ=0.66] r IQM  -200.00 | r' IQM  -216.50 | 행동   25.0회 | 성공률   0.0% (마지막 시드 기준)
[규칙 rule_pump          λ=0.66] r IQM  -120.28 | r' IQM  -199.66 | 행동  119.5회 | 성공률 100.0% (마지막 시드 기준)
