
===== 시도 1 @ 2026-08-24 23:15:27 =====
  LunarLander-v3/dqn/lam0.0/seed1   20000/200000 | r' IQM   -67.32 | 행동  510.6 | 성공  40.0%
  LunarLander-v3/dqn/lam0.0/seed1   40000/200000 | r' IQM    23.45 | 행동  545.6 | 성공  80.0%
  LunarLander-v3/dqn/lam0.0/seed1   60000/200000 | r' IQM   114.97 | 행동  264.8 | 성공 100.0%
  LunarLander-v3/dqn/lam0.0/seed1   80000/200000 | r' IQM  -108.96 | 행동  416.4 | 성공 100.0%
  LunarLander-v3/dqn/lam0.0/seed1  100000/200000 | r' IQM   119.12 | 행동  636.8 | 성공  60.0%
  LunarLander-v3/dqn/lam0.0/seed1  120000/200000 | r' IQM   131.39 | 행동  594.8 | 성공  40.0%
  LunarLander-v3/dqn/lam0.0/seed1  140000/200000 | r' IQM   231.37 | 행동  435.6 | 성공 100.0%
  LunarLander-v3/dqn/lam0.0/seed1  160000/200000 | r' IQM   251.71 | 행동  346.0 | 성공 100.0%
  LunarLander-v3/dqn/lam0.0/seed1  180000/200000 | r' IQM   224.43 | 행동  395.8 | 성공  60.0%
  LunarLander-v3/dqn/lam0.0/seed1  200000/200000 | r' IQM   218.88 | 행동  418.2 | 성공  60.0%
[완료] LunarLander-v3/dqn/lam0.0/seed1 | r' IQM 144.85 | 행동 530.2 | 성공 34.0% | 770초
