
===== 시도 1 @ 2026-08-24 23:28:01 =====
  LunarLander-v3/lazy/lam0.0/seed1   20000/200000 | r' IQM   -27.93 | 행동  688.8 | 성공  20.0%
  LunarLander-v3/lazy/lam0.0/seed1   40000/200000 | r' IQM   204.53 | 행동  429.4 | 성공 100.0%
  LunarLander-v3/lazy/lam0.0/seed1   60000/200000 | r' IQM   126.29 | 행동  303.0 | 성공  80.0%
  LunarLander-v3/lazy/lam0.0/seed1   80000/200000 | r' IQM   136.07 | 행동  123.6 | 성공 100.0%
  LunarLander-v3/lazy/lam0.0/seed1  100000/200000 | r' IQM    80.61 | 행동  111.4 | 성공 100.0%
  LunarLander-v3/lazy/lam0.0/seed1  120000/200000 | r' IQM   230.87 | 행동  295.4 | 성공 100.0%
  LunarLander-v3/lazy/lam0.0/seed1  140000/200000 | r' IQM   263.61 | 행동  204.8 | 성공 100.0%
  LunarLander-v3/lazy/lam0.0/seed1  160000/200000 | r' IQM   281.50 | 행동  155.2 | 성공 100.0%
  LunarLander-v3/lazy/lam0.0/seed1  180000/200000 | r' IQM   254.62 | 행동  146.6 | 성공 100.0%
  LunarLander-v3/lazy/lam0.0/seed1  200000/200000 | r' IQM   272.47 | 행동  173.8 | 성공 100.0%
[완료] LunarLander-v3/lazy/lam0.0/seed1 | r' IQM 270.27 | 행동 158.6 | 성공 99.0% | 564초
