
===== 시도 1 @ 2026-08-24 23:15:27 =====
  LunarLander-v3/temporl/lam0.0/seed0   20001/200000 | r' IQM   -85.18 | 행동  340.2 | 성공  60.0%
  LunarLander-v3/temporl/lam0.0/seed0   40000/200000 | r' IQM   -35.67 | 행동  626.0 | 성공  20.0%
  LunarLander-v3/temporl/lam0.0/seed0   60004/200000 | r' IQM   -27.40 | 행동  693.0 | 성공   0.0%
  LunarLander-v3/temporl/lam0.0/seed0   80007/200000 | r' IQM   -40.21 | 행동  930.0 | 성공  20.0%
  LunarLander-v3/temporl/lam0.0/seed0  100000/200000 | r' IQM   219.14 | 행동  478.0 | 성공  80.0%
  LunarLander-v3/temporl/lam0.0/seed0  120004/200000 | r' IQM   155.99 | 행동  841.6 | 성공  20.0%
  LunarLander-v3/temporl/lam0.0/seed0  140000/200000 | r' IQM   213.24 | 행동  344.8 | 성공  80.0%
  LunarLander-v3/temporl/lam0.0/seed0  160004/200000 | r' IQM   236.48 | 행동  277.2 | 성공 100.0%
  LunarLander-v3/temporl/lam0.0/seed0  180000/200000 | r' IQM    89.76 | 행동  729.6 | 성공  20.0%
  LunarLander-v3/temporl/lam0.0/seed0  200001/200000 | r' IQM   258.24 | 행동  225.2 | 성공 100.0%
[완료] LunarLander-v3/temporl/lam0.0/seed0 | r' IQM 266.01 | 행동 249.6 | 성공 91.0% | 1259초
