
===== 시도 1 @ 2026-08-24 23:15:27 =====
  LunarLander-v3/temporl/lam0.0/seed1   20000/200000 | r' IQM   182.78 | 행동  466.2 | 성공 100.0%
  LunarLander-v3/temporl/lam0.0/seed1   40000/200000 | r' IQM    -0.52 | 행동  646.0 | 성공   0.0%
  LunarLander-v3/temporl/lam0.0/seed1   60004/200000 | r' IQM    12.14 | 행동  622.6 | 성공   0.0%
  LunarLander-v3/temporl/lam0.0/seed1   80000/200000 | r' IQM   257.58 | 행동  223.8 | 성공 100.0%
  LunarLander-v3/temporl/lam0.0/seed1  100005/200000 | r' IQM   172.57 | 행동  776.4 | 성공  40.0%
  LunarLander-v3/temporl/lam0.0/seed1  120000/200000 | r' IQM   275.41 | 행동  207.6 | 성공 100.0%
  LunarLander-v3/temporl/lam0.0/seed1  140001/200000 | r' IQM    65.41 | 행동  719.6 | 성공  40.0%
  LunarLander-v3/temporl/lam0.0/seed1  160006/200000 | r' IQM   252.15 | 행동  285.0 | 성공 100.0%
  LunarLander-v3/temporl/lam0.0/seed1  180000/200000 | r' IQM   130.02 | 행동  342.6 | 성공  60.0%
  LunarLander-v3/temporl/lam0.0/seed1  200003/200000 | r' IQM   193.04 | 행동  171.6 | 성공 100.0%
[완료] LunarLander-v3/temporl/lam0.0/seed1 | r' IQM 224.87 | 행동 266.4 | 성공 79.0% | 1252초
