
===== 시도 1 @ 2026-08-24 23:15:27 =====
  MountainCar-v0/dqn/lam0.0/seed0   20000/300000 | r' IQM  -200.00 | 행동    0.0 | 성공   0.0%
  MountainCar-v0/dqn/lam0.0/seed0   40000/300000 | r' IQM  -200.00 | 행동    0.0 | 성공   0.0%
  MountainCar-v0/dqn/lam0.0/seed0   60000/300000 | r' IQM  -200.00 | 행동  200.0 | 성공   0.0%
  MountainCar-v0/dqn/lam0.0/seed0   80000/300000 | r' IQM  -200.00 | 행동  200.0 | 성공   0.0%
  MountainCar-v0/dqn/lam0.0/seed0  100000/300000 | r' IQM  -200.00 | 행동    0.0 | 성공   0.0%
  MountainCar-v0/dqn/lam0.0/seed0  120000/300000 | r' IQM  -200.00 | 행동    0.0 | 성공   0.0%
  MountainCar-v0/dqn/lam0.0/seed0  140000/300000 | r' IQM  -154.67 | 행동  146.7 | 성공  60.0%
  MountainCar-v0/dqn/lam0.0/seed0  160000/300000 | r' IQM  -156.83 | 행동  150.5 | 성공  60.0%
  MountainCar-v0/dqn/lam0.0/seed0  180000/300000 | r' IQM  -162.50 | 행동  160.7 | 성공 100.0%
  MountainCar-v0/dqn/lam0.0/seed0  200000/300000 | r' IQM  -121.33 | 행동  131.9 | 성공  90.0%
  MountainCar-v0/dqn/lam0.0/seed0  220000/300000 | r' IQM  -140.33 | 행동  134.9 | 성공 100.0%
  MountainCar-v0/dqn/lam0.0/seed0  240000/300000 | r' IQM  -136.83 | 행동  124.4 | 성공 100.0%
  MountainCar-v0/dqn/lam0.0/seed0  260000/300000 | r' IQM  -110.00 | 행동  111.0 | 성공 100.0%
  MountainCar-v0/dqn/lam0.0/seed0  280000/300000 | r' IQM  -118.83 | 행동  122.5 | 성공 100.0%
  MountainCar-v0/dqn/lam0.0/seed0  300000/300000 | r' IQM  -146.17 | 행동  138.8 | 성공  70.0%
[완료] MountainCar-v0/dqn/lam0.0/seed0 | r' IQM -154.62 | 행동 146.3 | 성공 60.0% | 1002초
