
===== 시도 1 @ 2026-08-24 23:15:27 =====
  MountainCar-v0/lazy/lam0.0/seed0   20000/300000 | r' IQM  -200.00 | 행동  200.0 | 성공   0.0%
  MountainCar-v0/lazy/lam0.0/seed0   40000/300000 | r' IQM  -200.00 | 행동    0.0 | 성공   0.0%
  MountainCar-v0/lazy/lam0.0/seed0   60000/300000 | r' IQM  -200.00 | 행동  200.0 | 성공   0.0%
  MountainCar-v0/lazy/lam0.0/seed0   80000/300000 | r' IQM  -200.00 | 행동  200.0 | 성공   0.0%
  MountainCar-v0/lazy/lam0.0/seed0  100000/300000 | r' IQM  -200.00 | 행동  200.0 | 성공   0.0%
  MountainCar-v0/lazy/lam0.0/seed0  120000/300000 | r' IQM  -200.00 | 행동  200.0 | 성공   0.0%
  MountainCar-v0/lazy/lam0.0/seed0  140000/300000 | r' IQM  -200.00 | 행동  200.0 | 성공   0.0%
  MountainCar-v0/lazy/lam0.0/seed0  160000/300000 | r' IQM  -119.50 | 행동  119.4 | 성공 100.0%
  MountainCar-v0/lazy/lam0.0/seed0  180000/300000 | r' IQM  -119.33 | 행동  119.0 | 성공 100.0%
  MountainCar-v0/lazy/lam0.0/seed0  200000/300000 | r' IQM  -200.00 | 행동  200.0 | 성공   0.0%
  MountainCar-v0/lazy/lam0.0/seed0  220000/300000 | r' IQM  -123.17 | 행동  119.6 | 성공 100.0%
  MountainCar-v0/lazy/lam0.0/seed0  240000/300000 | r' IQM  -200.00 | 행동  200.0 | 성공   0.0%
  MountainCar-v0/lazy/lam0.0/seed0  260000/300000 | r' IQM  -119.33 | 행동  117.2 | 성공 100.0%
  MountainCar-v0/lazy/lam0.0/seed0  280000/300000 | r' IQM  -200.00 | 행동  200.0 | 성공   0.0%
  MountainCar-v0/lazy/lam0.0/seed0  300000/300000 | r' IQM  -119.33 | 행동  119.0 | 성공 100.0%
[완료] MountainCar-v0/lazy/lam0.0/seed0 | r' IQM -119.80 | 행동 119.2 | 성공 100.0% | 1002초
