2026-08-24 23:01:17 [정상] pilot_mountaincar 0/27 진행중 | 디스크 361GB | 완료조건 누계 0 | 이상 없음
2026-08-24 23:01:36 [경고] pilot_mountaincar 0/27 진행중 | 디스크 361GB | 완료조건 누계 0 | [pilot_mountaincar] ② 지난 점검 이후 완료 조건이 늘지 않음 (완료 0/27)
2026-08-24 23:30:38 [경고] pilot_b_lunarlander 3/6 진행중 ; pilot_b_mountaincar 0/6 진행중 | 디스크 361GB | 완료조건 누계 723 | ⑤ 바닥 고정(성공률 0%·행동 0회) 조건 20개: rule_noop/lam0.66/seed9, rule_noop/lam0.66/seed8, rule_noop/lam0.66/seed7, rule_noop/lam0.66/seed6, rule_noop/lam0.66/seed5
2026-08-24 23:31:32 [경고] pilot_b_lunarlander 3/6 진행중 ; pilot_b_mountaincar 0/6 진행중 | 디스크 361GB | 완료조건 누계 723 | [pilot_b_mountaincar] ② 지난 점검 이후 완료 조건이 늘지 않음 (완료 0/6)
2026-08-24 23:31:49 [정상] pilot_b_lunarlander 3/6 진행중 ; pilot_b_mountaincar 0/6 진행중 | 디스크 361GB | 완료조건 누계 723 | 이상 없음
2026-08-24 23:47:59 [경고] main_lunarlander 6/180 진행중 ; main_mountaincar 6/180 진행중 ; pilot_b_lunarlander 6/6 종료됨 ; pilot_b_mountaincar 6/6 종료됨 | 디스크 361GB | 완료조건 누계 733 | ⑤ 학습 계열이 무행동으로 굳은 조건 1개 (λ가 크면 정상일 수 있음): temporl/lam0.0/seed1
2026-08-25 00:01:37 [정상] main_lunarlander 5/180 진행중 ; main_mountaincar 0/180 진행중 ; pilot_b_lunarlander 6/6 종료됨 ; pilot_b_mountaincar 6/6 종료됨 | 디스크 360GB | 완료조건 누계 725 | 이상 없음
2026-08-25 00:05:25 [정상] main_lunarlander 5/180 진행중 ; main_mountaincar 0/180 진행중 | 디스크 360GB | 완료조건 누계 725 | 이상 없음
2026-08-25 01:01:38 [경고] main_lunarlander 24/180 진행중 ; main_mountaincar 14/180 진행중 | 디스크 360GB | 완료조건 누계 758 | ⑤ 학습 계열이 무행동으로 굳은 조건 10개 (λ가 크면 정상일 수 있음): temporl/lam0.35/seed0, lazy/lam0.05/seed0, lazy/lam0.1/seed0, temporl/lam0.2/seed0, temporl/lam0.1/seed0
2026-08-25 02:01:40 [경고] main_lunarlander 42/240 진행중 ; main_mountaincar 28/270 진행중 | 디스크 360GB | 완료조건 누계 1090 | ⑤ 학습 계열이 무행동으로 굳은 조건 9개 (λ가 크면 정상일 수 있음): temporl/lam0.03/seed0, lazy/lam0.03/seed0, lazy/lam0.66/seed0, lazy/lam0.35/seed0, lazy/lam0.2/seed0
2026-08-25 03:01:42 [경고] main_lunarlander 61/240 진행중 ; main_mountaincar 41/270 진행중 | 디스크 357GB | 완료조건 누계 1122 | ⑤ 학습 계열이 무행동으로 굳은 조건 19개 (λ가 크면 정상일 수 있음): temporl/lam0.05/seed1, temporl/lam0.03/seed1, temporl/lam0.01/seed1, dqn/lam0.66/seed1, dqn/lam0.35/seed1
2026-08-25 04:01:44 [경고] main_lunarlander 83/240 진행중 ; main_mountaincar 57/270 진행중 | 디스크 357GB | 완료조건 누계 1162 | ⑤ 학습 계열이 무행동으로 굳은 조건 31개 (λ가 크면 정상일 수 있음): dqn/lam0.03/seed2, dqn/lam0.02/seed2, dqn/lam0.01/seed2, lazy/lam0.66/seed1, lazy/lam0.35/seed1
2026-08-25 04:02:23 [정상] main_lunarlander 85/240 진행중 ; main_mountaincar 59/270 진행중 | 디스크 357GB | 완료조건 누계 1164 | 비용에 의한 무행동 수렴 32건(정상) | 이상 없음
